"Program","Year","Confirmed","Choice","Count"
"AGR","07-08","N",1,176
"AGR","07-08","N",2,97
"AGR","07-08","N",3,54
"AGR","07-08","N",4,49
"AGR","08-09","N",1,186
"AGR","08-09","N",2,104
"AGR","08-09","N",3,78
"AGR","08-09","N",4,80
"AGR","09-10","N",1,195
"AGR","09-10","N",2,93
"AGR","09-10","N",3,75
"AGR","09-10","N",4,65
"AGR","10-11","N",1,188
"AGR","10-11","N",2,119
"AGR","10-11","N",3,82
"AGR","10-11","N",4,71
"AGR","11-12","N",1,219
"AGR","11-12","N",2,93
"AGR","11-12","N",3,72
"AGR","11-12","N",4,63
"AGR","12-13","N",1,229
"AGR","12-13","N",2,124
"AGR","12-13","N",3,100
"AGR","12-13","N",4,87
"AGR","13-14","N",1,231
"AGR","13-14","N",2,138
"AGR","13-14","N",3,107
"AGR","13-14","N",4,102
"AGR","14-15","N",1,254
"AGR","14-15","N",2,153
"AGR","14-15","N",3,120
"AGR","14-15","N",4,107
"AGR","15-16","N",1,262
"AGR","15-16","N",2,175
"AGR","15-16","N",3,140
"AGR","15-16","N",4,128
"AGR","16-17","N",1,260
"AGR","16-17","N",2,183
"AGR","16-17","N",3,174
"AGR","16-17","N",4,127
"ARC","07-08","N",1,1340
"ARC","07-08","N",2,905
"ARC","07-08","N",3,618
"ARC","07-08","N",4,474
"ARC","08-09","N",1,1412
"ARC","08-09","N",2,969
"ARC","08-09","N",3,664
"ARC","08-09","N",4,582
"ARC","09-10","N",1,1458
"ARC","09-10","N",2,1006
"ARC","09-10","N",3,679
"ARC","09-10","N",4,589
"ARC","10-11","N",1,1447
"ARC","10-11","N",2,944
"ARC","10-11","N",3,656
"ARC","10-11","N",4,542
"ARC","11-12","N",1,1418
"ARC","11-12","N",2,963
"ARC","11-12","N",3,655
"ARC","11-12","N",4,594
"ARC","12-13","N",1,1398
"ARC","12-13","N",2,952
"ARC","12-13","N",3,681
"ARC","12-13","N",4,643
"ARC","13-14","N",1,1425
"ARC","13-14","N",2,1007
"ARC","13-14","N",3,772
"ARC","13-14","N",4,751
"ARC","14-15","N",1,1373
"ARC","14-15","N",2,966
"ARC","14-15","N",3,740
"ARC","14-15","N",4,870
"ARC","15-16","N",1,1312
"ARC","15-16","N",2,967
"ARC","15-16","N",3,707
"ARC","15-16","N",4,870
"ARC","16-17","N",1,1303
"ARC","16-17","N",2,961
"ARC","16-17","N",3,716
"ARC","16-17","N",4,864
"ART","07-08","N",1,43669
"ART","07-08","N",2,41016
"ART","07-08","N",3,38042
"ART","07-08","N",4,46452
"ART","08-09","N",1,45163
"ART","08-09","N",2,42537
"ART","08-09","N",3,39564
"ART","08-09","N",4,48226
"ART","09-10","N",1,46502
"ART","09-10","N",2,44027
"ART","09-10","N",3,40464
"ART","09-10","N",4,47307
"ART","10-11","N",1,47039
"ART","10-11","N",2,44538
"ART","10-11","N",3,41256
"ART","10-11","N",4,46466
"ART","11-12","N",1,46780
"ART","11-12","N",2,44725
"ART","11-12","N",3,41621
"ART","11-12","N",4,45713
"ART","12-13","N",1,46386
"ART","12-13","N",2,44408
"ART","12-13","N",3,41656
"ART","12-13","N",4,46327
"ART","13-14","N",1,44167
"ART","13-14","N",2,43121
"ART","13-14","N",3,40625
"ART","13-14","N",4,47047
"ART","14-15","N",1,41911
"ART","14-15","N",2,40484
"ART","14-15","N",3,37405
"ART","14-15","N",4,46418
"ART","15-16","N",1,39307
"ART","15-16","N",2,38240
"ART","15-16","N",3,35394
"ART","15-16","N",4,43241
"ART","16-17","N",1,39764
"ART","16-17","N",2,38375
"ART","16-17","N",3,35775
"ART","16-17","N",4,45298
"BAD","07-08","N",1,21415
"BAD","07-08","N",2,19032
"BAD","07-08","N",3,17302
"BAD","07-08","N",4,29833
"BAD","08-09","N",1,22917
"BAD","08-09","N",2,19923
"BAD","08-09","N",3,17934
"BAD","08-09","N",4,31082
"BAD","09-10","N",1,21318
"BAD","09-10","N",2,18086
"BAD","09-10","N",3,16229
"BAD","09-10","N",4,27028
"BAD","10-11","N",1,21189
"BAD","10-11","N",2,17921
"BAD","10-11","N",3,15863
"BAD","10-11","N",4,26618
"BAD","11-12","N",1,21622
"BAD","11-12","N",2,18340
"BAD","11-12","N",3,16120
"BAD","11-12","N",4,27094
"BAD","12-13","N",1,22532
"BAD","12-13","N",2,19305
"BAD","12-13","N",3,17052
"BAD","12-13","N",4,29094
"BAD","13-14","N",1,23727
"BAD","13-14","N",2,20618
"BAD","13-14","N",3,18154
"BAD","13-14","N",4,32934
"BAD","14-15","N",1,23298
"BAD","14-15","N",2,20489
"BAD","14-15","N",3,18171
"BAD","14-15","N",4,34187
"BAD","15-16","N",1,23710
"BAD","15-16","N",2,20686
"BAD","15-16","N",3,18639
"BAD","15-16","N",4,36226
"BAD","16-17","N",1,23818
"BAD","16-17","N",2,21202
"BAD","16-17","N",3,18981
"BAD","16-17","N",4,37324
"DPR","07-08","N",1,188
"DPR","07-08","N",2,61
"DPR","07-08","N",3,39
"DPR","07-08","N",4,36
"DPR","08-09","N",1,148
"DPR","08-09","N",2,60
"DPR","08-09","N",3,37
"DPR","08-09","N",4,27
"DPR","09-10","N",1,175
"DPR","09-10","N",2,53
"DPR","09-10","N",3,32
"DPR","09-10","N",4,28
"DPR","10-11","N",1,182
"DPR","10-11","N",2,24
"DPR","10-11","N",3,28
"DPR","10-11","N",4,20
"DPR","11-12","N",1,156
"DPR","11-12","N",2,38
"DPR","11-12","N",3,20
"DPR","11-12","N",4,14
"DPR","12-13","N",1,161
"DPR","12-13","N",2,39
"DPR","12-13","N",3,20
"DPR","12-13","N",4,11
"DPR","13-14","N",1,188
"DPR","13-14","N",2,39
"DPR","13-14","N",3,27
"DPR","13-14","N",4,14
"DPR","14-15","N",1,144
"DPR","14-15","N",2,31
"DPR","14-15","N",3,23
"DPR","14-15","N",4,12
"DPR","15-16","N",1,139
"DPR","15-16","N",2,41
"DPR","15-16","N",3,22
"DPR","15-16","N",4,14
"DPR","16-17","N",1,114
"DPR","16-17","N",2,40
"DPR","16-17","N",3,21
"DPR","16-17","N",4,16
"EDU","07-08","N",1,3091
"EDU","07-08","N",2,2538
"EDU","07-08","N",3,2256
"EDU","07-08","N",4,2657
"EDU","08-09","N",1,2499
"EDU","08-09","N",2,2066
"EDU","08-09","N",3,1757
"EDU","08-09","N",4,2219
"EDU","09-10","N",1,2535
"EDU","09-10","N",2,2030
"EDU","09-10","N",3,1741
"EDU","09-10","N",4,2091
"EDU","10-11","N",1,2731
"EDU","10-11","N",2,2232
"EDU","10-11","N",3,1993
"EDU","10-11","N",4,2220
"EDU","11-12","N",1,2886
"EDU","11-12","N",2,2279
"EDU","11-12","N",3,2020
"EDU","11-12","N",4,2223
"EDU","12-13","N",1,2670
"EDU","12-13","N",2,2192
"EDU","12-13","N",3,1903
"EDU","12-13","N",4,2178
"EDU","13-14","N",1,2511
"EDU","13-14","N",2,2006
"EDU","13-14","N",3,1717
"EDU","13-14","N",4,1900
"EDU","14-15","N",1,2057
"EDU","14-15","N",2,1578
"EDU","14-15","N",3,1445
"EDU","14-15","N",4,1760
"EDU","15-16","N",1,1727
"EDU","15-16","N",2,1412
"EDU","15-16","N",3,1219
"EDU","15-16","N",4,1505
"EDU","16-17","N",1,1730
"EDU","16-17","N",2,1393
"EDU","16-17","N",3,1235
"EDU","16-17","N",4,1499
"ENG","07-08","N",1,11926
"ENG","07-08","N",2,9740
"ENG","07-08","N",3,8230
"ENG","07-08","N",4,11278
"ENG","08-09","N",1,12870
"ENG","08-09","N",2,10604
"ENG","08-09","N",3,8961
"ENG","08-09","N",4,12396
"ENG","09-10","N",1,13590
"ENG","09-10","N",2,11076
"ENG","09-10","N",3,9434
"ENG","09-10","N",4,12617
"ENG","10-11","N",1,13966
"ENG","10-11","N",2,11131
"ENG","10-11","N",3,9434
"ENG","10-11","N",4,12713
"ENG","11-12","N",1,15050
"ENG","11-12","N",2,12361
"ENG","11-12","N",3,10305
"ENG","11-12","N",4,13600
"ENG","12-13","N",1,16260
"ENG","12-13","N",2,13034
"ENG","12-13","N",3,11129
"ENG","12-13","N",4,15073
"ENG","13-14","N",1,17397
"ENG","13-14","N",2,14122
"ENG","13-14","N",3,11987
"ENG","13-14","N",4,17715
"ENG","14-15","N",1,19822
"ENG","14-15","N",2,15983
"ENG","14-15","N",3,13512
"ENG","14-15","N",4,22118
"ENG","15-16","N",1,20172
"ENG","15-16","N",2,16241
"ENG","15-16","N",3,13794
"ENG","15-16","N",4,24025
"ENG","16-17","N",1,21090
"ENG","16-17","N",2,17119
"ENG","16-17","N",3,14436
"ENG","16-17","N",4,26275
"EST","07-08","N",1,1204
"EST","07-08","N",2,986
"EST","07-08","N",3,832
"EST","07-08","N",4,1080
"EST","08-09","N",1,1510
"EST","08-09","N",2,1266
"EST","08-09","N",3,958
"EST","08-09","N",4,1312
"EST","09-10","N",1,1483
"EST","09-10","N",2,1286
"EST","09-10","N",3,1111
"EST","09-10","N",4,1348
"EST","10-11","N",1,1491
"EST","10-11","N",2,1319
"EST","10-11","N",3,1012
"EST","10-11","N",4,1285
"EST","11-12","N",1,1533
"EST","11-12","N",2,1275
"EST","11-12","N",3,1075
"EST","11-12","N",4,1385
"EST","12-13","N",1,1404
"EST","12-13","N",2,1194
"EST","12-13","N",3,933
"EST","12-13","N",4,1267
"EST","13-14","N",1,1289
"EST","13-14","N",2,1088
"EST","13-14","N",3,887
"EST","13-14","N",4,1210
"EST","14-15","N",1,1333
"EST","14-15","N",2,1131
"EST","14-15","N",3,912
"EST","14-15","N",4,1250
"EST","15-16","N",1,1001
"EST","15-16","N",2,792
"EST","15-16","N",3,708
"EST","15-16","N",4,1097
"EST","16-17","N",1,1017
"EST","16-17","N",2,911
"EST","16-17","N",3,855
"EST","16-17","N",4,1282
"FCS","07-08","N",1,1630
"FCS","07-08","N",2,1114
"FCS","07-08","N",3,916
"FCS","07-08","N",4,1036
"FCS","08-09","N",1,1904
"FCS","08-09","N",2,1240
"FCS","08-09","N",3,1034
"FCS","08-09","N",4,1004
"FCS","09-10","N",1,1897
"FCS","09-10","N",2,1311
"FCS","09-10","N",3,1071
"FCS","09-10","N",4,1115
"FCS","10-11","N",1,1985
"FCS","10-11","N",2,1370
"FCS","10-11","N",3,1129
"FCS","10-11","N",4,1179
"FCS","11-12","N",1,1921
"FCS","11-12","N",2,1347
"FCS","11-12","N",3,1164
"FCS","11-12","N",4,1150
"FCS","12-13","N",1,2034
"FCS","12-13","N",2,1496
"FCS","12-13","N",3,1285
"FCS","12-13","N",4,1271
"FCS","13-14","N",1,1993
"FCS","13-14","N",2,1532
"FCS","13-14","N",3,1287
"FCS","13-14","N",4,1304
"FCS","14-15","N",1,1984
"FCS","14-15","N",2,1477
"FCS","14-15","N",3,1182
"FCS","14-15","N",4,1330
"FCS","15-16","N",1,1847
"FCS","15-16","N",2,1459
"FCS","15-16","N",3,1254
"FCS","15-16","N",4,1378
"FCS","16-17","N",1,1799
"FCS","16-17","N",2,1263
"FCS","16-17","N",3,1067
"FCS","16-17","N",4,1252
"FAA","07-08","N",1,6962
"FAA","07-08","N",2,4827
"FAA","07-08","N",3,3691
"FAA","07-08","N",4,3298
"FAA","08-09","N",1,7040
"FAA","08-09","N",2,4833
"FAA","08-09","N",3,3620
"FAA","08-09","N",4,3262
"FAA","09-10","N",1,7154
"FAA","09-10","N",2,4960
"FAA","09-10","N",3,3608
"FAA","09-10","N",4,3243
"FAA","10-11","N",1,7139
"FAA","10-11","N",2,4819
"FAA","10-11","N",3,3573
"FAA","10-11","N",4,3116
"FAA","11-12","N",1,6716
"FAA","11-12","N",2,4662
"FAA","11-12","N",3,3382
"FAA","11-12","N",4,2957
"FAA","12-13","N",1,6575
"FAA","12-13","N",2,4355
"FAA","12-13","N",3,3166
"FAA","12-13","N",4,2552
"FAA","13-14","N",1,6980
"FAA","13-14","N",2,4556
"FAA","13-14","N",3,3352
"FAA","13-14","N",4,3057
"FAA","14-15","N",1,6770
"FAA","14-15","N",2,4419
"FAA","14-15","N",3,3219
"FAA","14-15","N",4,2962
"FAA","15-16","N",1,7516
"FAA","15-16","N",2,4900
"FAA","15-16","N",3,3530
"FAA","15-16","N",4,3526
"FAA","16-17","N",1,7231
"FAA","16-17","N",2,4878
"FAA","16-17","N",3,3658
"FAA","16-17","N",4,3467
"FOR","07-08","N",1,48
"FOR","07-08","N",2,17
"FOR","07-08","N",3,26
"FOR","07-08","N",4,14
"FOR","08-09","N",1,29
"FOR","08-09","N",2,15
"FOR","08-09","N",3,13
"FOR","08-09","N",4,11
"FOR","09-10","N",1,23
"FOR","09-10","N",2,21
"FOR","09-10","N",3,16
"FOR","09-10","N",4,8
"FOR","10-11","N",1,36
"FOR","10-11","N",2,14
"FOR","10-11","N",3,14
"FOR","10-11","N",4,11
"FOR","11-12","N",1,64
"FOR","11-12","N",2,43
"FOR","11-12","N",3,25
"FOR","11-12","N",4,19
"FOR","12-13","N",1,78
"FOR","12-13","N",2,40
"FOR","12-13","N",3,33
"FOR","12-13","N",4,21
"FOR","13-14","N",1,67
"FOR","13-14","N",2,50
"FOR","13-14","N",3,26
"FOR","13-14","N",4,23
"FOR","14-15","N",1,61
"FOR","14-15","N",2,42
"FOR","14-15","N",3,44
"FOR","14-15","N",4,29
"FOR","15-16","N",1,82
"FOR","15-16","N",2,47
"FOR","15-16","N",3,38
"FOR","15-16","N",4,31
"FOR","16-17","N",1,43
"FOR","16-17","N",2,17
"FOR","16-17","N",3,16
"FOR","16-17","N",4,14
"IPR","09-10","N",1,0
"IPR","09-10","N",2,0
"IPR","09-10","N",3,0
"IPR","09-10","N",4,0
"IPR","10-11","N",1,2
"IPR","10-11","N",2,1
"IPR","10-11","N",3,3
"IPR","10-11","N",4,3
"IPR","11-12","N",1,12
"IPR","11-12","N",2,6
"IPR","11-12","N",3,5
"IPR","11-12","N",4,5
"IPR","12-13","N",1,2
"IPR","12-13","N",2,12
"IPR","12-13","N",3,10
"IPR","12-13","N",4,12
"IPR","13-14","N",1,5
"IPR","13-14","N",2,2
"IPR","13-14","N",3,4
"IPR","13-14","N",4,4
"IPR","14-15","N",1,1
"IPR","14-15","N",2,6
"IPR","14-15","N",3,5
"IPR","14-15","N",4,8
"IPR","15-16","N",1,1
"IPR","15-16","N",2,3
"IPR","15-16","N",3,1
"IPR","15-16","N",4,10
"IPR","16-17","N",1,1
"IPR","16-17","N",2,0
"IPR","16-17","N",3,0
"IPR","16-17","N",4,3
"JOU","07-08","N",1,1951
"JOU","07-08","N",2,1359
"JOU","07-08","N",3,1133
"JOU","07-08","N",4,1212
"JOU","08-09","N",1,1935
"JOU","08-09","N",2,1375
"JOU","08-09","N",3,1069
"JOU","08-09","N",4,1257
"JOU","09-10","N",1,2061
"JOU","09-10","N",2,1407
"JOU","09-10","N",3,1089
"JOU","09-10","N",4,1066
"JOU","10-11","N",1,1760
"JOU","10-11","N",2,1260
"JOU","10-11","N",3,921
"JOU","10-11","N",4,900
"JOU","11-12","N",1,1752
"JOU","11-12","N",2,1145
"JOU","11-12","N",3,886
"JOU","11-12","N",4,859
"JOU","12-13","N",1,1574
"JOU","12-13","N",2,1108
"JOU","12-13","N",3,830
"JOU","12-13","N",4,853
"JOU","13-14","N",1,1392
"JOU","13-14","N",2,899
"JOU","13-14","N",3,671
"JOU","13-14","N",4,718
"JOU","14-15","N",1,1284
"JOU","14-15","N",2,884
"JOU","14-15","N",3,685
"JOU","14-15","N",4,629
"JOU","15-16","N",1,717
"JOU","15-16","N",2,586
"JOU","15-16","N",3,511
"JOU","15-16","N",4,539
"JOU","16-17","N",1,707
"JOU","16-17","N",2,596
"JOU","16-17","N",3,484
"JOU","16-17","N",4,506
"LAR","07-08","N",1,84
"LAR","07-08","N",2,23
"LAR","07-08","N",3,20
"LAR","07-08","N",4,21
"LAR","08-09","N",1,199
"LAR","08-09","N",2,94
"LAR","08-09","N",3,47
"LAR","08-09","N",4,103
"LAR","09-10","N",1,246
"LAR","09-10","N",2,74
"LAR","09-10","N",3,76
"LAR","09-10","N",4,100
"LAR","10-11","N",1,247
"LAR","10-11","N",2,111
"LAR","10-11","N",3,63
"LAR","10-11","N",4,105
"LAR","11-12","N",1,215
"LAR","11-12","N",2,113
"LAR","11-12","N",3,65
"LAR","11-12","N",4,106
"LAR","12-13","N",1,218
"LAR","12-13","N",2,108
"LAR","12-13","N",3,53
"LAR","12-13","N",4,106
"LAR","13-14","N",1,229
"LAR","13-14","N",2,86
"LAR","13-14","N",3,52
"LAR","13-14","N",4,86
"LAR","14-15","N",1,198
"LAR","14-15","N",2,84
"LAR","14-15","N",3,53
"LAR","14-15","N",4,97
"LAR","15-16","N",1,180
"LAR","15-16","N",2,83
"LAR","15-16","N",3,101
"LAR","15-16","N",4,167
"LAR","16-17","N",1,179
"LAR","16-17","N",2,95
"LAR","16-17","N",3,105
"LAR","16-17","N",4,132
"MAT","07-08","N",1,1916
"MAT","07-08","N",2,1301
"MAT","07-08","N",3,945
"MAT","07-08","N",4,1193
"MAT","08-09","N",1,2296
"MAT","08-09","N",2,1891
"MAT","08-09","N",3,1398
"MAT","08-09","N",4,1806
"MAT","09-10","N",1,2258
"MAT","09-10","N",2,1757
"MAT","09-10","N",3,1325
"MAT","09-10","N",4,1779
"MAT","10-11","N",1,2273
"MAT","10-11","N",2,1833
"MAT","10-11","N",3,1351
"MAT","10-11","N",4,1711
"MAT","11-12","N",1,2568
"MAT","11-12","N",2,1963
"MAT","11-12","N",3,1484
"MAT","11-12","N",4,2054
"MAT","12-13","N",1,2595
"MAT","12-13","N",2,2078
"MAT","12-13","N",3,1516
"MAT","12-13","N",4,2072
"MAT","13-14","N",1,2919
"MAT","13-14","N",2,2437
"MAT","13-14","N",3,1708
"MAT","13-14","N",4,2339
"MAT","14-15","N",1,3163
"MAT","14-15","N",2,2791
"MAT","14-15","N",3,1931
"MAT","14-15","N",4,2616
"MAT","15-16","N",1,3443
"MAT","15-16","N",2,2946
"MAT","15-16","N",3,1963
"MAT","15-16","N",4,2820
"MAT","16-17","N",1,3841
"MAT","16-17","N",2,3638
"MAT","16-17","N",3,2462
"MAT","16-17","N",4,3260
"MUS","07-08","N",1,1158
"MUS","07-08","N",2,762
"MUS","07-08","N",3,601
"MUS","07-08","N",4,534
"MUS","08-09","N",1,1116
"MUS","08-09","N",2,768
"MUS","08-09","N",3,625
"MUS","08-09","N",4,448
"MUS","09-10","N",1,1148
"MUS","09-10","N",2,825
"MUS","09-10","N",3,619
"MUS","09-10","N",4,420
"MUS","10-11","N",1,1166
"MUS","10-11","N",2,792
"MUS","10-11","N",3,608
"MUS","10-11","N",4,411
"MUS","11-12","N",1,1130
"MUS","11-12","N",2,767
"MUS","11-12","N",3,605
"MUS","11-12","N",4,418
"MUS","12-13","N",1,1097
"MUS","12-13","N",2,728
"MUS","12-13","N",3,569
"MUS","12-13","N",4,358
"MUS","13-14","N",1,1061
"MUS","13-14","N",2,694
"MUS","13-14","N",3,510
"MUS","13-14","N",4,353
"MUS","14-15","N",1,973
"MUS","14-15","N",2,647
"MUS","14-15","N",3,488
"MUS","14-15","N",4,360
"MUS","15-16","N",1,899
"MUS","15-16","N",2,550
"MUS","15-16","N",3,428
"MUS","15-16","N",4,312
"MUS","16-17","N",1,875
"MUS","16-17","N",2,494
"MUS","16-17","N",3,410
"MUS","16-17","N",4,290
"NUR","07-08","N",1,5626
"NUR","07-08","N",2,3851
"NUR","07-08","N",3,2928
"NUR","07-08","N",4,3122
"NUR","08-09","N",1,6143
"NUR","08-09","N",2,4435
"NUR","08-09","N",3,3366
"NUR","08-09","N",4,3557
"NUR","09-10","N",1,6391
"NUR","09-10","N",2,4766
"NUR","09-10","N",3,3748
"NUR","09-10","N",4,3760
"NUR","10-11","N",1,6937
"NUR","10-11","N",2,5394
"NUR","10-11","N",3,4124
"NUR","10-11","N",4,4382
"NUR","11-12","N",1,7074
"NUR","11-12","N",2,5520
"NUR","11-12","N",3,4267
"NUR","11-12","N",4,4296
"NUR","12-13","N",1,7339
"NUR","12-13","N",2,5758
"NUR","12-13","N",3,4546
"NUR","12-13","N",4,4689
"NUR","13-14","N",1,7647
