"Year","University","Retention"
2014,"BRO",.876
2014,"CAR",.881
2014,"LAK",.814
2014,"LAU",.845
2014,"MCM",.903
2014,"NIP",.845
2014,"OCA",.829
2014,"OTT",.872
2014,"UOI",.803
2014,"QUE",.942
2014,"RYE",.888
2014,"TAC",.917
2014,"TSG",.933
2014,"TMI",.911
2014,"TSC",.883
2014,"TRE",.845
2014,"WAT",.932
2014,"WMC",.933
2014,"WBC",.923
2014,"WHC",.876
2014,"WKC",.86
2014,"WLA",.887
2014,"WIN",.857
2014,"YOR",.87
2013,"BRO",.87
2013,"CAR",.874
2013,"GUE",.912
2013,"LAK",.832
2013,"LAU",.844
2013,"MCM",.899
2013,"NIP",.818
2013,"OCA",.849
2013,"OTT",.873
2013,"UOI",.794
2013,"QUE",.948
2013,"RYE",.885
2013,"TAC",.921
2013,"TSG",.935
2013,"TMI",.908
2013,"TSC",.898
2013,"TRE",.83
2013,"WAT",.923
2013,"WMC",.925
2013,"WBC",.893
2013,"WKC",.86
2013,"WLA",.867
2013,"WIN",.851
2013,"YOR",.848
2012,"BRO",.867
2012,"CAR",.872
2012,"GUE",.92
2012,"LAK",.841
2012,"LAU",.831
2012,"MCM",.903
2012,"NIP",.793
2012,"OCA",.889
2012,"OTT",.863
2012,"UOI",.792
2012,"QUE",.946
2012,"RYE",.875
2012,"TAC",.92
2012,"TSG",.934
2012,"TMI",.914
2012,"TSC",.891
2012,"TRE",.828
2012,"WAT",.919
2012,"WMC",.932
2012,"WLA",.876
2012,"WIN",.852
2012,"YOR",.857
2011,"BRO",.879
2011,"CAR",.873
2011,"GUE",.921
2011,"LAK",.839
2011,"LAU",.827
2011,"MCM",.887
2011,"NIP",.803
2011,"OCA",.891
2011,"OTT",.864
2011,"UOI",.772
2011,"QUE",.945
2011,"RYE",.858
2011,"TAC",.912
2011,"TSG",.923
2011,"TMI",.91
2011,"TSC",.884
2011,"TRE",.841
2011,"WAT",.908
2011,"WMC",.928
2011,"WBC",.941
2011,"WKC",.97
2011,"WLA",.88
2011,"WIN",.846
2011,"YOR",.856
2010,"BRO",.872
2010,"CAR",.874
2010,"GUE",.917
2010,"LAK",.853
2010,"LAU",.86
2010,"MCM",.868
2010,"NIP",.82
2010,"OCA",.887
2010,"OTT",.86
2010,"UOI",.824
2010,"QUE",.94
2010,"RYE",.857
2010,"TAC",.913
2010,"TSG",.927
2010,"TMI",.912
2010,"TSC",.877
2010,"TRE",.839
2010,"WAT",.904
2010,"WMC",.932
2010,"WBC",.805
2010,"WHC",.851
2010,"WLA",.884
2010,"WIN",.844
2010,"YOR",.856
2009,"BRO",.875
2009,"CAR",.879
2009,"GUE",.916
2009,"LAK",.878
2009,"LAU",.856
2009,"MCM",.873
2009,"NIP",.829
2009,"OCA",.882
2009,"OTT",.861
2009,"UOI",.81
2009,"QUE",.945
2009,"RYE",.867
2009,"TAC",.912
2009,"TSG",.921
2009,"TMI",.913
2009,"TSC",.885
2009,"TRE",.831
2009,"WAT",.894
2009,"WMC",.936
2009,"WBC",.915
2009,"WHC",.825
2009,"WKC",.868
2009,"WLA",.888
2009,"WIN",.863
2009,"YOR",.863
2008,"BRO",.87
2008,"CAR",.88
2008,"GUE",.874
2008,"LAK",.86
2008,"LAU",.863
2008,"MCM",.862
2008,"NIP",.834
2008,"OCA",.868
2008,"OTT",.869
2008,"UOI",.827
2008,"QUE",.936
2008,"RYE",.831
2008,"TAC",.909
2008,"TSG",.919
2008,"TMI",.904
2008,"TSC",.886
2008,"TRE",.819
2008,"WAT",.89
2008,"WMC",.927
2008,"WBC",.915
2008,"WHC",.887
2008,"WKC",.88
2008,"WLA",.892
2008,"WIN",.869
2008,"YOR",.868
2007,"BRO",.855
2007,"CAR",.876
2007,"GUE",.902
2007,"LAK",.86
2007,"LAU",.842
2007,"MCM",.872
2007,"NIP",.843
2007,"OCA",.917
2007,"OTT",.868
2007,"UOI",.802
2007,"QUE",.949
2007,"RYE",.889
2007,"TAC",.904
2007,"TSG",.903
2007,"TMI",.906
2007,"TSC",.905
2007,"TRE",.806
2007,"WAT",.879
2007,"WMC",.919
2007,"WBC",.877
2007,"WHC",.885
2007,"WKC",.911
2007,"WLA",.898
2007,"WIN",.823
2007,"YOR",.868
2006,"BRO",.865
2006,"CAR",.867
2006,"GUE",.91
2006,"LAK",.867
2006,"LAU",.833
2006,"MCM",.878
2006,"NIP",.828
2006,"OCA",.92
2006,"OTT",.878
2006,"QUE",.947
2006,"RYE",.874
2006,"TAC",.9
2006,"TSG",.901
2006,"TMI",.91
2006,"TSC",.889
2006,"TRE",.815
2006,"WAT",.883
2006,"WMC",.911
2006,"WBC",.886
2006,"WHC",.885
2006,"WKC",.877
2006,"WLA",.889
2006,"WIN",.823
2006,"YOR",.879
2005,"BRO",.88
2005,"CAR",.881
2005,"GUE",.913
2005,"LAK",.892
2005,"LAU",.867
2005,"MCM",.895
2005,"NIP",.852
2005,"OCA",.924
2005,"OTT",.876
2005,"UOI",.848
2005,"QUE",.933
2005,"RYE",.87
2005,"TAC",.894
2005,"TSG",.897
2005,"TMI",.898
2005,"TSC",.88
2005,"TRE",.85
2005,"WAT",.884
2005,"WMC",.925
2005,"WBC",.881
2005,"WHC",.77
2005,"WKC",.873
2005,"WLA",.888
2005,"WIN",.825
2005,"YOR",.879
2004,"BRO",.889
2004,"CAR",.881
2004,"GUE",.911
2004,"LAK",.888
2004,"LAU",.85
2004,"MCM",.895
2004,"NIP",.887
2004,"OCA",.856
2004,"OTT",.886
2004,"QUE",.944
2004,"RYE",.896
2004,"TAC",.9
2004,"TSG",.91
2004,"TMI",.911
2004,"TSC",.859
2004,"TRE",.82
2004,"WAT",.89
2004,"WMC",.915
2004,"WBC",.894
2004,"WHC",.871
2004,"WLA",.89
2004,"WIN",.815
2004,"YOR",.884
