"Year","Occupation","Metric","Value"
2001,"MAN","LF",611.9
2001,"MAN","EM",600.8
2001,"MAN","UN",11
2001,"MAN","UR",1.8
2001,"PRO","LF",1065.9
2001,"PRO","EM",1038.4
2001,"PRO","UN",27.5
2001,"PRO","UR",2.6
2001,"NSB","LF",1881.3
2001,"NSB","EM",1813.2
2001,"NSB","UN",68.1
2001,"NSB","UR",3.6
2001,"NSC","LF",1959
2001,"NSC","EM",1855.5
2001,"NSC","UN",103.5
2001,"NSC","UR",5.3
2001,"NSD","LF",664.8
2001,"NSD","EM",613.3
2001,"NSD","UN",51.5
2001,"NSD","UR",7.7
2001,"UNC","LF",137.7
2001,"UNC","UN",137.7
2001,"UNC","UR",100
2002,"MAN","LF",624.2
2002,"MAN","EM",608.9
2002,"MAN","UN",15.3
2002,"MAN","UR",2.5
2002,"PRO","LF",1090.3
2002,"PRO","EM",1059.5
2002,"PRO","UN",30.8
2002,"PRO","UR",2.8
2002,"NSB","LF",1915.7
2002,"NSB","EM",1835.8
2002,"NSB","UN",79.9
2002,"NSB","UR",4.2
2002,"NSC","LF",2003.4
2002,"NSC","EM",1881.7
2002,"NSC","UN",121.7
2002,"NSC","UR",6.1
2002,"NSD","LF",708.1
2002,"NSD","EM",648.3
2002,"NSD","UN",59.8
2002,"NSD","UR",8.4
2002,"UNC","LF",153.7
2002,"UNC","UN",153.7
2002,"UNC","UR",100
2003,"MAN","LF",646
2003,"MAN","EM",632.5
2003,"MAN","UN",13.5
2003,"MAN","UR",2.1
2003,"PRO","LF",1090.2
2003,"PRO","EM",1061.5
2003,"PRO","UN",28.8
2003,"PRO","UR",2.6
2003,"NSB","LF",1954.5
2003,"NSB","EM",1878.5
2003,"NSB","UN",76
2003,"NSB","UR",3.9
2003,"NSC","LF",2090.5
2003,"NSC","EM",1969.6
2003,"NSC","UN",120.9
2003,"NSC","UR",5.8
2003,"NSD","LF",739.1
2003,"NSD","EM",670.9
2003,"NSD","UN",68.2
2003,"NSD","UR",9.2
2003,"UNC","LF",156.2
2003,"UNC","UN",156.2
2003,"UNC","UR",100
2004,"MAN","LF",677.4
2004,"MAN","EM",664.9
2004,"MAN","UN",12.5
2004,"MAN","UR",1.8
2004,"PRO","LF",1109.5
2004,"PRO","EM",1081
2004,"PRO","UN",28.5
2004,"PRO","UR",2.6
2004,"NSB","LF",1958.9
2004,"NSB","EM",1885.2
2004,"NSB","UN",73.8
2004,"NSB","UR",3.8
2004,"NSC","LF",2122.3
2004,"NSC","EM",2008.5
2004,"NSC","UN",113.8
2004,"NSC","UR",5.4
2004,"NSD","LF",743.4
2004,"NSD","EM",674.6
2004,"NSD","UN",68.8
2004,"NSD","UR",9.3
2004,"UNC","LF",160.6
2004,"UNC","UN",160.6
2004,"UNC","UR",100
2005,"MAN","LF",690.3
2005,"MAN","EM",675.6
2005,"MAN","UN",14.8
2005,"MAN","UR",2.1
2005,"PRO","LF",1161.9
2005,"PRO","EM",1138
2005,"PRO","UN",23.9
2005,"PRO","UR",2.1
2005,"NSB","LF",1977
2005,"NSB","EM",1904.4
2005,"NSB","UN",72.6
2005,"NSB","UR",3.7
2005,"NSC","LF",2077.9
2005,"NSC","EM",1963.2
2005,"NSC","UN",114.7
2005,"NSC","UR",5.5
2005,"NSD","LF",765.8
2005,"NSD","EM",699.8
2005,"NSD","UN",66.1
2005,"NSD","UR",8.6
2005,"UNC","LF",161.1
2005,"UNC","UN",161.1
2005,"UNC","UR",100
2006,"MAN","LF",718.8
2006,"MAN","EM",707.3
2006,"MAN","UN",11.4
2006,"MAN","UR",1.6
2006,"PRO","LF",1181.1
2006,"PRO","EM",1158.9
2006,"PRO","UN",22.2
2006,"PRO","UR",1.9
2006,"NSB","LF",1988.5
2006,"NSB","EM",1917.6
2006,"NSB","UN",70.9
2006,"NSB","UR",3.6
2006,"NSC","LF",2078.1
2006,"NSC","EM",1961
2006,"NSC","UN",117.1
2006,"NSC","UR",5.6
2006,"NSD","LF",770.1
2006,"NSD","EM",707.5
2006,"NSD","UN",62.6
2006,"NSD","UR",8.1
2006,"UNC","LF",150.5
2006,"UNC","UN",150.5
2006,"UNC","UR",100
2007,"MAN","LF",698.9
2007,"MAN","EM",687.7
2007,"MAN","UN",11.2
2007,"MAN","UR",1.6
2007,"PRO","LF",1240.5
2007,"PRO","EM",1215.4
2007,"PRO","UN",25.1
2007,"PRO","UR",2
2007,"NSB","LF",2034.4
2007,"NSB","EM",1959.3
2007,"NSB","UN",75
2007,"NSB","UR",3.7
2007,"NSC","LF",2091.9
2007,"NSC","EM",1969.3
2007,"NSC","UN",122.6
2007,"NSC","UR",5.9
2007,"NSD","LF",779.5
2007,"NSD","EM",713.8
2007,"NSD","UN",65.8
2007,"NSD","UR",8.4
2007,"UNC","LF",146.6
2007,"UNC","UN",146.6
2007,"UNC","UR",100
2008,"MAN","LF",725.8
2008,"MAN","EM",710.1
2008,"MAN","UN",15.7
2008,"MAN","UR",2.2
2008,"PRO","LF",1280.3
2008,"PRO","EM",1254.5
2008,"PRO","UN",25.8
2008,"PRO","UR",2
2008,"NSB","LF",2118.9
2008,"NSB","EM",2038.5
2008,"NSB","UN",80.4
2008,"NSB","UR",3.8
2008,"NSC","LF",2019.1
2008,"NSC","EM",1903.2
2008,"NSC","UN",115.9
2008,"NSC","UR",5.7
2008,"NSD","LF",775.2
2008,"NSD","EM",704.1
2008,"NSD","UN",71.1
2008,"NSD","UR",9.2
2008,"UNC","LF",155.2
2008,"UNC","UN",155.2
2008,"UNC","UR",100
2009,"MAN","LF",707
2009,"MAN","EM",689.4
2009,"MAN","UN",17.5
2009,"MAN","UR",2.5
2009,"PRO","LF",1298.2
2009,"PRO","EM",1261
2009,"PRO","UN",37.1
2009,"PRO","UR",2.9
2009,"NSB","LF",2095.2
2009,"NSB","EM",1967.6
2009,"NSB","UN",127.6
2009,"NSB","UR",6.1
2009,"NSC","LF",2033.4
2009,"NSC","EM",1860.6
2009,"NSC","UN",172.8
2009,"NSC","UR",8.5
2009,"NSD","LF",742
2009,"NSD","EM",654
2009,"NSD","UN",88
2009,"NSD","UR",11.9
2009,"UNC","LF",204.4
2009,"UNC","UN",204.4
2009,"UNC","UR",100
2010,"MAN","LF",699.3
2010,"MAN","EM",681.4
2010,"MAN","UN",17.9
2010,"MAN","UR",2.6
2010,"PRO","LF",1348.4
2010,"PRO","EM",1310.4
2010,"PRO","UN",38
2010,"PRO","UR",2.8
2010,"NSB","LF",2077.5
2010,"NSB","EM",1976.9
2010,"NSB","UN",100.6
2010,"NSB","UR",4.8
2010,"NSC","LF",2000
2010,"NSC","EM",1871.2
2010,"NSC","UN",128.8
2010,"NSC","UR",6.4
2010,"NSD","LF",776.3
2010,"NSD","EM",698
2010,"NSD","UN",78.3
2010,"NSD","UR",10.1
2010,"UNC","LF",259.4
2010,"UNC","UN",259.4
2010,"UNC","UR",100
2011,"MAN","LF",674.3
2011,"MAN","EM",659.9
2011,"MAN","UN",14.4
2011,"MAN","UR",2.1
2011,"PRO","LF",1378.3
2011,"PRO","EM",1342.8
2011,"PRO","UN",35.5
2011,"PRO","UR",2.6
2011,"NSB","LF",2109.6
2011,"NSB","EM",2025.7
2011,"NSB","UN",84
2011,"NSB","UR",4
2011,"NSC","LF",2016
2011,"NSC","EM",1898.6
2011,"NSC","UN",117.4
2011,"NSC","UR",5.8
2011,"NSD","LF",799.2
2011,"NSD","EM",731.5
2011,"NSD","UN",67.7
2011,"NSD","UR",8.5
2011,"UNC","LF",250.1
2011,"UNC","UN",250.1
2011,"UNC","UR",100
2012,"MAN","LF",696.2
2012,"MAN","EM",683.9
2012,"MAN","UN",12.3
2012,"MAN","UR",1.8
2012,"PRO","LF",1404.9
2012,"PRO","EM",1369.2
2012,"PRO","UN",35.8
2012,"PRO","UR",2.5
2012,"NSB","LF",2078.1
2012,"NSB","EM",1997.4
2012,"NSB","UN",80.7
2012,"NSB","UR",3.9
2012,"NSC","LF",2011.5
2012,"NSC","EM",1897.6
2012,"NSC","UN",114
2012,"NSC","UR",5.7
2012,"NSD","LF",829.4
2012,"NSD","EM",754.5
2012,"NSD","UN",74.9
2012,"NSD","UR",9
2012,"UNC","LF",256.2
2012,"UNC","UN",256.2
2012,"UNC","UR",100
2013,"MAN","LF",675.2
2013,"MAN","EM",660.2
2013,"MAN","UN",15.1
2013,"MAN","UR",2.2
2013,"PRO","LF",1415.1
2013,"PRO","EM",1383.4
2013,"PRO","UN",31.7
2013,"PRO","UR",2.2
2013,"NSB","LF",2198.4
2013,"NSB","EM",2107.4
2013,"NSB","UN",91
2013,"NSB","UR",4.1
2013,"NSC","LF",2048.8
2013,"NSC","EM",1941.9
2013,"NSC","UN",106.9
2013,"NSC","UR",5.2
2013,"NSD","LF",804.3
2013,"NSD","EM",730.6
2013,"NSD","UN",73.6
2013,"NSD","UR",9.2
2013,"UNC","LF",241.9
2013,"UNC","UN",241.9
2013,"UNC","UR",100
2014,"MAN","LF",649.9
2014,"MAN","EM",635.4
2014,"MAN","UN",14.6
2014,"MAN","UR",2.2
2014,"PRO","LF",1456.8
2014,"PRO","EM",1420.2
2014,"PRO","UN",36.7
2014,"PRO","UR",2.5
2014,"NSB","LF",2209
2014,"NSB","EM",2131.1
2014,"NSB","UN",77.9
2014,"NSB","UR",3.5
2014,"NSC","LF",2015.3
2014,"NSC","EM",1908.5
2014,"NSC","UN",106.7
2014,"NSC","UR",5.3
2014,"NSD","LF",849.7
2014,"NSD","EM",782.7
2014,"NSD","UN",67
2014,"NSD","UR",7.9
2014,"UNC","LF",237.9
2014,"UNC","UN",237.9
2014,"UNC","UR",100
2015,"MAN","LF",630.9
2015,"MAN","EM",619.2
2015,"MAN","UN",11.8
2015,"MAN","UR",1.9
2015,"PRO","LF",1531.9
2015,"PRO","EM",1502.9
2015,"PRO","UN",29
2015,"PRO","UR",1.9
2015,"NSB","LF",2239.8
2015,"NSB","EM",2155.1
2015,"NSB","UN",84.7
2015,"NSB","UR",3.8
2015,"NSC","LF",2003.6
2015,"NSC","EM",1904.4
2015,"NSC","UN",99.2
2015,"NSC","UR",5
2015,"NSD","LF",802.7
2015,"NSD","EM",741.7
2015,"NSD","UN",61
2015,"NSD","UR",7.6
2015,"UNC","LF",217.2
2015,"UNC","UN",217.2
2015,"UNC","UR",100
2016,"MAN","LF",647.8
2016,"MAN","EM",633.6
2016,"MAN","UN",14.2
2016,"MAN","UR",2.2
2016,"PRO","LF",1591
2016,"PRO","EM",1553.8
2016,"PRO","UN",37.2
2016,"PRO","UR",2.3
2016,"NSB","LF",2333.3
2016,"NSB","EM",2257.9
2016,"NSB","UN",75.4
2016,"NSB","UR",3.2
2016,"NSC","LF",1889.5
2016,"NSC","EM",1795.8
2016,"NSC","UN",93.6
2016,"NSC","UR",5
2016,"NSD","LF",817.9
2016,"NSD","EM",758.5
2016,"NSD","UN",59.4
2016,"NSD","UR",7.3
2016,"UNC","LF",210.1
2016,"UNC","UN",210.1
2016,"UNC","UR",100
