"Program","Year","Schedule","Period","Salary-Range","Salary-N"
"ABS",2013,"FT",6,"0-10",43
"ABS",2013,"FT",6,"10-20",163
"ABS",2013,"FT",6,"20-30",211
"ABS",2013,"FT",6,"30-40",137
"ABS",2013,"FT",6,"40-50",78
"ABS",2013,"FT",6,"50-60",50
"ABS",2013,"FT",6,"60-70",24
"ABS",2013,"FT",6,"70-80",13
"ALA",2013,"FT",6,"10-20",10
"ALA",2013,"FT",6,"20-30",18
"ALA",2013,"FT",6,"30-40",20
"ALA",2013,"FT",6,"40-50",30
"BCO",2013,"FT",6,"0-10",29
"BCO",2013,"FT",6,"10-20",118
"BCO",2013,"FT",6,"20-30",342
"BCO",2013,"FT",6,"30-40",746
"BCO",2013,"FT",6,"40-50",842
"BCO",2013,"FT",6,"50-60",509
"BCO",2013,"FT",6,"60-70",233
"BCO",2013,"FT",6,"70-80",104
"BCO",2013,"FT",6,"80-90",42
"BCO",2013,"FT",6,"90-100",24
"BCO",2013,"FT",6,">100",67
"CSC",2013,"FT",6,"10-20",12
"CSC",2013,"FT",6,"20-30",15
"CSC",2013,"FT",6,"30-40",40
"CSC",2013,"FT",6,"40-50",70
"CSC",2013,"FT",6,"50-60",94
"CSC",2013,"FT",6,"60-70",69
"CSC",2013,"FT",6,"70-80",27
"CSC",2013,"FT",6,"80-90",10
"CSC",2013,"FT",6,">100",30
"DEN",2013,"FT",6,">100",21
"EDU",2013,"FT",6,"0-10",60
"EDU",2013,"FT",6,"10-20",205
"EDU",2013,"FT",6,"20-30",426
"EDU",2013,"FT",6,"30-40",433
"EDU",2013,"FT",6,"40-50",391
"EDU",2013,"FT",6,"50-60",246
"EDU",2013,"FT",6,"60-70",49
"EDU",2013,"FT",6,"70-80",35
"EDU",2013,"FT",6,"80-90",22
"EDU",2013,"FT",6,"90-100",10
"EDU",2013,"FT",6,">100",10
"ENG",2013,"FT",6,"0-10",17
"ENG",2013,"FT",6,"10-20",38
"ENG",2013,"FT",6,"20-30",73
"ENG",2013,"FT",6,"30-40",107
"ENG",2013,"FT",6,"40-50",237
"ENG",2013,"FT",6,"50-60",484
"ENG",2013,"FT",6,"60-70",290
"ENG",2013,"FT",6,"70-80",134
"ENG",2013,"FT",6,"80-90",59
"ENG",2013,"FT",6,"90-100",39
"ENG",2013,"FT",6,">100",92
"FAA",2013,"FT",6,"0-10",52
"FAA",2013,"FT",6,"10-20",136
"FAA",2013,"FT",6,"20-30",172
"FAA",2013,"FT",6,"30-40",149
"FAA",2013,"FT",6,"40-50",75
"FAA",2013,"FT",6,"50-60",26
"FSN",2013,"FT",6,"10-20",39
"FSN",2013,"FT",6,"20-30",42
"FSN",2013,"FT",6,"30-40",40
"FSN",2013,"FT",6,"40-50",19
"FSN",2013,"FT",6,"50-60",11
"HPR",2013,"FT",6,"0-10",12
"HPR",2013,"FT",6,"10-20",38
"HPR",2013,"FT",6,"20-30",67
"HPR",2013,"FT",6,"30-40",58
"HPR",2013,"FT",6,"40-50",43
"HPR",2013,"FT",6,"50-60",35
"HPR",2013,"FT",6,"60-70",38
"HPR",2013,"FT",6,"70-80",27
"HPR",2013,"FT",6,"80-90",12
"HUM",2013,"FT",6,"0-10",104
"HUM",2013,"FT",6,"10-20",305
"HUM",2013,"FT",6,"20-30",425
"HUM",2013,"FT",6,"30-40",385
"HUM",2013,"FT",6,"40-50",251
"HUM",2013,"FT",6,"50-60",133
"HUM",2013,"FT",6,"60-70",32
"HUM",2013,"FT",6,"70-80",10
"JOU",2013,"FT",6,"10-20",15
"JOU",2013,"FT",6,"20-30",22
"JOU",2013,"FT",6,"30-40",15
"JOU",2013,"FT",6,"40-50",12
"KRP",2013,"FT",6,"0-10",32
"KRP",2013,"FT",6,"10-20",104
"KRP",2013,"FT",6,"20-30",151
"KRP",2013,"FT",6,"30-40",123
"KRP",2013,"FT",6,"40-50",63
"KRP",2013,"FT",6,"50-60",47
"LAW",2013,"FT",6,"10-20",15
"LAW",2013,"FT",6,"20-30",30
"LAW",2013,"FT",6,"30-40",59
"LAW",2013,"FT",6,"40-50",108
"LAW",2013,"FT",6,"50-60",79
"LAW",2013,"FT",6,"60-70",106
"LAW",2013,"FT",6,"70-80",90
"LAW",2013,"FT",6,"80-90",28
"LAW",2013,"FT",6,"90-100",23
"LAW",2013,"FT",6,">100",25
"MAT",2013,"FT",6,"10-20",10
"MAT",2013,"FT",6,"20-30",30
"MAT",2013,"FT",6,"30-40",49
"MAT",2013,"FT",6,"40-50",57
"MAT",2013,"FT",6,"50-60",49
"MAT",2013,"FT",6,"60-70",39
"MAT",2013,"FT",6,"70-80",12
"MED",2013,"FT",6,"40-50",27
"MED",2013,"FT",6,"50-60",161
"MED",2013,"FT",6,"60-70",36
"NUR",2013,"FT",6,"10-20",23
"NUR",2013,"FT",6,"20-30",32
"NUR",2013,"FT",6,"30-40",118
"NUR",2013,"FT",6,"40-50",165
"NUR",2013,"FT",6,"50-60",317
"NUR",2013,"FT",6,"60-70",275
"NUR",2013,"FT",6,"70-80",100
"NUR",2013,"FT",6,"80-90",41
"NUR",2013,"FT",6,"90-100",22
"NUR",2013,"FT",6,">100",12
"OAS",2013,"FT",6,"0-10",27
"OAS",2013,"FT",6,"10-20",90
"OAS",2013,"FT",6,"20-30",128
"OAS",2013,"FT",6,"30-40",131
"OAS",2013,"FT",6,"40-50",95
"OAS",2013,"FT",6,"50-60",61
"OAS",2013,"FT",6,"60-70",34
"OAS",2013,"FT",6,"70-80",21
"OAS",2013,"FT",6,"80-90",10
"OAS",2013,"FT",6,">100",22
"PHA",2013,"FT",6,"30-40",11
"PHA",2013,"FT",6,"60-70",11
"PHA",2013,"FT",6,"70-80",26
"PHA",2013,"FT",6,"80-90",32
"PHA",2013,"FT",6,"90-100",22
"PHA",2013,"FT",6,">100",33
"PSC",2013,"FT",6,"10-20",23
"PSC",2013,"FT",6,"20-30",38
"PSC",2013,"FT",6,"30-40",33
"PSC",2013,"FT",6,"40-50",27
"PSC",2013,"FT",6,"50-60",14
"PSC",2013,"FT",6,"60-70",12
"SSC",2013,"FT",6,"0-10",135
"SSC",2013,"FT",6,"10-20",543
"SSC",2013,"FT",6,"20-30",1016
"SSC",2013,"FT",6,"30-40",921
"SSC",2013,"FT",6,"40-50",652
"SSC",2013,"FT",6,"50-60",376
"SSC",2013,"FT",6,"60-70",131
"SSC",2013,"FT",6,"70-80",51
"SSC",2013,"FT",6,"80-90",28
"SSC",2013,"FT",6,"90-100",26
"SSC",2013,"FT",6,">100",29
"VME",2013,"FT",6,"70-80",19
"ABS",2013,"FT",24,"0-10",21
"ABS",2013,"FT",24,"10-20",93
"ABS",2013,"FT",24,"20-30",164
"ABS",2013,"FT",24,"30-40",163
"ABS",2013,"FT",24,"40-50",171
"ABS",2013,"FT",24,"50-60",118
"ABS",2013,"FT",24,"60-70",50
"ABS",2013,"FT",24,"70-80",43
"ABS",2013,"FT",24,"80-90",15
"ABS",2013,"FT",24,">100",11
"ALA",2013,"FT",24,"30-40",21
"ALA",2013,"FT",24,"40-50",29
"ALA",2013,"FT",24,"50-60",11
"BCO",2013,"FT",24,"0-10",23
"BCO",2013,"FT",24,"10-20",54
"BCO",2013,"FT",24,"20-30",211
"BCO",2013,"FT",24,"30-40",524
"BCO",2013,"FT",24,"40-50",842
"BCO",2013,"FT",24,"50-60",777
"BCO",2013,"FT",24,"60-70",552
"BCO",2013,"FT",24,"70-80",259
"BCO",2013,"FT",24,"80-90",131
"BCO",2013,"FT",24,"90-100",49
"BCO",2013,"FT",24,">100",137
"CSC",2013,"FT",24,"10-20",10
"CSC",2013,"FT",24,"20-30",13
"CSC",2013,"FT",24,"30-40",23
"CSC",2013,"FT",24,"40-50",34
"CSC",2013,"FT",24,"50-60",88
"CSC",2013,"FT",24,"60-70",80
"CSC",2013,"FT",24,"70-80",69
"CSC",2013,"FT",24,"80-90",45
"CSC",2013,"FT",24,"90-100",13
"CSC",2013,"FT",24,">100",63
"DEN",2013,"FT",24,">100",33
"EDU",2013,"FT",24,"0-10",36
"EDU",2013,"FT",24,"10-20",129
"EDU",2013,"FT",24,"20-30",343
"EDU",2013,"FT",24,"30-40",446
"EDU",2013,"FT",24,"40-50",493
"EDU",2013,"FT",24,"50-60",564
"EDU",2013,"FT",24,"60-70",116
"EDU",2013,"FT",24,"70-80",49
"EDU",2013,"FT",24,"80-90",23
"EDU",2013,"FT",24,"90-100",21
"EDU",2013,"FT",24,">100",15
"ENG",2013,"FT",24,"0-10",14
"ENG",2013,"FT",24,"10-20",17
"ENG",2013,"FT",24,"20-30",56
"ENG",2013,"FT",24,"30-40",96
"ENG",2013,"FT",24,"40-50",195
"ENG",2013,"FT",24,"50-60",441
"ENG",2013,"FT",24,"60-70",464
"ENG",2013,"FT",24,"70-80",245
"ENG",2013,"FT",24,"80-90",123
"ENG",2013,"FT",24,"90-100",93
"ENG",2013,"FT",24,">100",165
"FAA",2013,"FT",24,"0-10",39
"FAA",2013,"FT",24,"10-20",112
"FAA",2013,"FT",24,"20-30",180
"FAA",2013,"FT",24,"30-40",197
"FAA",2013,"FT",24,"40-50",164
"FAA",2013,"FT",24,"50-60",89
"FAA",2013,"FT",24,"60-70",21
"FSN",2013,"FT",24,"0-10",10
"FSN",2013,"FT",24,"10-20",18
"FSN",2013,"FT",24,"20-30",39
"FSN",2013,"FT",24,"30-40",54
"FSN",2013,"FT",24,"40-50",50
"FSN",2013,"FT",24,"50-60",47
"FSN",2013,"FT",24,"60-70",33
"HPR",2013,"FT",24,"10-20",17
"HPR",2013,"FT",24,"20-30",42
"HPR",2013,"FT",24,"30-40",40
"HPR",2013,"FT",24,"40-50",67
"HPR",2013,"FT",24,"50-60",67
"HPR",2013,"FT",24,"60-70",74
"HPR",2013,"FT",24,"70-80",50
"HPR",2013,"FT",24,"80-90",25
"HPR",2013,"FT",24,"90-100",11
"HUM",2013,"FT",24,"0-10",64
"HUM",2013,"FT",24,"10-20",189
"HUM",2013,"FT",24,"20-30",419
"HUM",2013,"FT",24,"30-40",551
"HUM",2013,"FT",24,"40-50",479
"HUM",2013,"FT",24,"50-60",314
"HUM",2013,"FT",24,"60-70",105
"HUM",2013,"FT",24,"70-80",27
"HUM",2013,"FT",24,"80-90",17
"HUM",2013,"FT",24,">100",10
"JOU",2013,"FT",24,"20-30",15
"JOU",2013,"FT",24,"30-40",20
"JOU",2013,"FT",24,"40-50",21
"JOU",2013,"FT",24,"50-60",12
"KRP",2013,"FT",24,"0-10",20
"KRP",2013,"FT",24,"10-20",51
"KRP",2013,"FT",24,"20-30",124
"KRP",2013,"FT",24,"30-40",150
"KRP",2013,"FT",24,"40-50",114
"KRP",2013,"FT",24,"50-60",88
"KRP",2013,"FT",24,"60-70",49
"KRP",2013,"FT",24,"70-80",19
"LAW",2013,"FT",24,"20-30",12
"LAW",2013,"FT",24,"30-40",31
"LAW",2013,"FT",24,"40-50",41
"LAW",2013,"FT",24,"50-60",56
"LAW",2013,"FT",24,"60-70",82
"LAW",2013,"FT",24,"70-80",101
"LAW",2013,"FT",24,"80-90",81
"LAW",2013,"FT",24,"90-100",90
"LAW",2013,"FT",24,">100",70
"MAT",2013,"FT",24,"20-30",29
"MAT",2013,"FT",24,"30-40",55
"MAT",2013,"FT",24,"40-50",55
"MAT",2013,"FT",24,"50-60",75
"MAT",2013,"FT",24,"60-70",46
"MAT",2013,"FT",24,"70-80",31
"MAT",2013,"FT",24,"80-90",25
"MAT",2013,"FT",24,"90-100",15
"MAT",2013,"FT",24,">100",21
"MED",2013,"FT",24,"50-60",59
"MED",2013,"FT",24,"60-70",106
"MED",2013,"FT",24,"70-80",22
"MED",2013,"FT",24,">100",40
"NUR",2013,"FT",24,"0-10",10
"NUR",2013,"FT",24,"10-20",14
"NUR",2013,"FT",24,"20-30",20
"NUR",2013,"FT",24,"30-40",50
"NUR",2013,"FT",24,"40-50",131
"NUR",2013,"FT",24,"50-60",290
"NUR",2013,"FT",24,"60-70",417
"NUR",2013,"FT",24,"70-80",189
"NUR",2013,"FT",24,"80-90",93
"NUR",2013,"FT",24,"90-100",34
"NUR",2013,"FT",24,">100",12
"OPT",2013,"FT",24,">100",16
"OAS",2013,"FT",24,"0-10",13
"OAS",2013,"FT",24,"10-20",59
"OAS",2013,"FT",24,"20-30",118
"OAS",2013,"FT",24,"30-40",145
"OAS",2013,"FT",24,"40-50",149
"OAS",2013,"FT",24,"50-60",101
"OAS",2013,"FT",24,"60-70",59
"OAS",2013,"FT",24,"70-80",32
"OAS",2013,"FT",24,"90-100",16
"OAS",2013,"FT",24,">100",27
"PHA",2013,"FT",24,"70-80",24
"PHA",2013,"FT",24,"80-90",52
"PHA",2013,"FT",24,"90-100",33
"PHA",2013,"FT",24,">100",50
"PSC",2013,"FT",24,"10-20",10
"PSC",2013,"FT",24,"20-30",38
"PSC",2013,"FT",24,"30-40",42
"PSC",2013,"FT",24,"40-50",42
"PSC",2013,"FT",24,"50-60",30
"PSC",2013,"FT",24,"60-70",20
"SSC",2013,"FT",24,"0-10",104
"SSC",2013,"FT",24,"10-20",370
"SSC",2013,"FT",24,"20-30",786
"SSC",2013,"FT",24,"30-40",1098
"SSC",2013,"FT",24,"40-50",1096
"SSC",2013,"FT",24,"50-60",739
"SSC",2013,"FT",24,"60-70",372
"SSC",2013,"FT",24,"70-80",135
"SSC",2013,"FT",24,"80-90",56
"SSC",2013,"FT",24,"90-100",45
"SSC",2013,"FT",24,">100",61
"VME",2013,"FT",24,"70-80",19
"VME",2013,"FT",24,"80-90",10
"ABS",2013,"PT",6,"0-10",120
"ABS",2013,"PT",6,"10-20",124
"ABS",2013,"PT",6,"20-30",47
"ABS",2013,"PT",6,"30-40",12
"BCO",2013,"PT",6,"0-10",64
"BCO",2013,"PT",6,"10-20",124
"BCO",2013,"PT",6,"20-30",84
"BCO",2013,"PT",6,"30-40",21
"CSC",2013,"PT",6,"10-20",14
"EDU",2013,"PT",6,"0-10",174
"EDU",2013,"PT",6,"10-20",261
"EDU",2013,"PT",6,"20-30",171
"EDU",2013,"PT",6,"30-40",56
"EDU",2013,"PT",6,"40-50",13
"ENG",2013,"PT",6,"0-10",26
"ENG",2013,"PT",6,"10-20",38
"ENG",2013,"PT",6,"20-30",27
"FAA",2013,"PT",6,"0-10",141
"FAA",2013,"PT",6,"10-20",138
"FAA",2013,"PT",6,"20-30",42
"FSN",2013,"PT",6,"0-10",26
"FSN",2013,"PT",6,"10-20",39
"FSN",2013,"PT",6,"20-30",18
"FSN",2013,"PT",6,"30-40",11
"HPR",2013,"PT",6,"0-10",46
"HPR",2013,"PT",6,"10-20",42
"HPR",2013,"PT",6,"20-30",30
"HPR",2013,"PT",6,"30-40",10
"HUM",2013,"PT",6,"0-10",311
"HUM",2013,"PT",6,"10-20",307
"HUM",2013,"PT",6,"20-30",113
"HUM",2013,"PT",6,"30-40",21
"HUM",2013,"PT",6,"40-50",14
"JOU",2013,"PT",6,"10-20",10
"KRP",2013,"PT",6,"0-10",81
"KRP",2013,"PT",6,"10-20",89
"KRP",2013,"PT",6,"20-30",38
"KRP",2013,"PT",6,"30-40",15
"LAW",2013,"PT",6,"10-20",11
"MAT",2013,"PT",6,"0-10",21
"MAT",2013,"PT",6,"10-20",24
"MAT",2013,"PT",6,"20-30",11
"NUR",2013,"PT",6,"0-10",25
"NUR",2013,"PT",6,"10-20",18
"NUR",2013,"PT",6,"20-30",29
"NUR",2013,"PT",6,"30-40",35
"NUR",2013,"PT",6,"40-50",30
"NUR",2013,"PT",6,"50-60",25
"OAS",2013,"PT",6,"0-10",63
"OAS",2013,"PT",6,"10-20",66
"OAS",2013,"PT",6,"20-30",32
"PSC",2013,"PT",6,"0-10",16
"PSC",2013,"PT",6,"10-20",17
"PSC",2013,"PT",6,"20-30",12
"SSC",2013,"PT",6,"0-10",442
"SSC",2013,"PT",6,"10-20",658
"SSC",2013,"PT",6,"20-30",262
"SSC",2013,"PT",6,"30-40",85
"SSC",2013,"PT",6,"40-50",21
"ABS",2013,"PT",24,"0-10",142
"ABS",2013,"PT",24,"10-20",104
"ABS",2013,"PT",24,"20-30",42
"ABS",2013,"PT",24,"30-40",21
"BCO",2013,"PT",24,"0-10",43
"BCO",2013,"PT",24,"10-20",56
"BCO",2013,"PT",24,"20-30",32
"BCO",2013,"PT",24,"30-40",16
"EDU",2013,"PT",24,"0-10",136
"EDU",2013,"PT",24,"10-20",211
"EDU",2013,"PT",24,"20-30",205
"EDU",2013,"PT",24,"30-40",78
"EDU",2013,"PT",24,"40-50",23
"EDU",2013,"PT",24,"50-60",10
"ENG",2013,"PT",24,"0-10",22
"ENG",2013,"PT",24,"10-20",28
"ENG",2013,"PT",24,"20-30",18
"FAA",2013,"PT",24,"0-10",113
"FAA",2013,"PT",24,"10-20",110
"FAA",2013,"PT",24,"20-30",35
"FSN",2013,"PT",24,"0-10",28
"FSN",2013,"PT",24,"10-20",18
"FSN",2013,"PT",24,"20-30",16
"FSN",2013,"PT",24,"30-40",10
"HPR",2013,"PT",24,"0-10",42
"HPR",2013,"PT",24,"10-20",45
"HPR",2013,"PT",24,"20-30",19
"HPR",2013,"PT",24,"30-40",12
"HUM",2013,"PT",24,"0-10",243
"HUM",2013,"PT",24,"10-20",238
"HUM",2013,"PT",24,"20-30",121
"HUM",2013,"PT",24,"30-40",32
"HUM",2013,"PT",24,"40-50",12
"JOU",2013,"PT",24,"10-20",10
"KRP",2013,"PT",24,"0-10",94
"KRP",2013,"PT",24,"10-20",72
"KRP",2013,"PT",24,"20-30",34
"KRP",2013,"PT",24,"30-40",17
"LAW",2013,"PT",24,"10-20",12
"MAT",2013,"PT",24,"0-10",11
"MAT",2013,"PT",24,"10-20",20
"NUR",2013,"PT",24,"0-10",21
"NUR",2013,"PT",24,"10-20",25
"NUR",2013,"PT",24,"20-30",25
"NUR",2013,"PT",24,"30-40",38
"NUR",2013,"PT",24,"40-50",34
"NUR",2013,"PT",24,"50-60",30
"OAS",2013,"PT",24,"0-10",50
"OAS",2013,"PT",24,"10-20",50
"OAS",2013,"PT",24,"20-30",38
"PSC",2013,"PT",24,"0-10",16
"PSC",2013,"PT",24,"10-20",15
"PSC",2013,"PT",24,"20-30",10
"SSC",2013,"PT",24,"0-10",425
"SSC",2013,"PT",24,"10-20",517
"SSC",2013,"PT",24,"20-30",266
"SSC",2013,"PT",24,"30-40",82
"SSC",2013,"PT",24,"40-50",36
"SSC",2013,"PT",24,"50-60",19
"ABS",2012,"FT",6,"0-10",40
"ABS",2012,"FT",6,"10-20",117
"ABS",2012,"FT",6,"20-30",207
"ABS",2012,"FT",6,"30-40",109
"ABS",2012,"FT",6,"40-50",80
"ABS",2012,"FT",6,"50-60",49
"ABS",2012,"FT",6,"60-70",10
"ABS",2012,"FT",6,"70-80",11
"ALA",2012,"FT",6,"10-20",10
"ALA",2012,"FT",6,"30-40",20
"ALA",2012,"FT",6,"40-50",25
"BCO",2012,"FT",6,"0-10",27
"BCO",2012,"FT",6,"10-20",82
"BCO",2012,"FT",6,"20-30",277
"BCO",2012,"FT",6,"30-40",605
"BCO",2012,"FT",6,"40-50",706
"BCO",2012,"FT",6,"50-60",425
"BCO",2012,"FT",6,"60-70",170
"BCO",2012,"FT",6,"70-80",88
"BCO",2012,"FT",6,"80-90",34
"BCO",2012,"FT",6,"90-100",20
"BCO",2012,"FT",6,">100",60
"CSC",2012,"FT",6,"10-20",12
"CSC",2012,"FT",6,"20-30",10
"CSC",2012,"FT",6,"30-40",39
"CSC",2012,"FT",6,"40-50",46
"CSC",2012,"FT",6,"50-60",71
"CSC",2012,"FT",6,"60-70",58
"CSC",2012,"FT",6,"70-80",23
"CSC",2012,"FT",6,"80-90",14
"CSC",2012,"FT",6,">100",19
"DEN",2012,"FT",6,">100",24
"EDU",2012,"FT",6,"0-10",31
"EDU",2012,"FT",6,"10-20",188
"EDU",2012,"FT",6,"20-30",393
"EDU",2012,"FT",6,"30-40",364
"EDU",2012,"FT",6,"40-50",374
"EDU",2012,"FT",6,"50-60",261
"EDU",2012,"FT",6,"60-70",75
"EDU",2012,"FT",6,"70-80",18
"EDU",2012,"FT",6,"80-90",10
"EDU",2012,"FT",6,"90-100",12
"ENG",2012,"FT",6,"0-10",11
"ENG",2012,"FT",6,"10-20",33
"ENG",2012,"FT",6,"20-30",64
"ENG",2012,"FT",6,"30-40",77
"ENG",2012,"FT",6,"40-50",252
"ENG",2012,"FT",6,"50-60",405
"ENG",2012,"FT",6,"60-70",280
"ENG",2012,"FT",6,"70-80",127
"ENG",2012,"FT",6,"80-90",51
"ENG",2012,"FT",6,"90-100",43
"ENG",2012,"FT",6,">100",80
"FAA",2012,"FT",6,"0-10",40
"FAA",2012,"FT",6,"10-20",128
"FAA",2012,"FT",6,"20-30",142
"FAA",2012,"FT",6,"30-40",113
"FAA",2012,"FT",6,"40-50",51
"FAA",2012,"FT",6,"50-60",26
"FAA",2012,"FT",6,"60-70",10
"FSN",2012,"FT",6,"0-10",11
"FSN",2012,"FT",6,"10-20",19
"FSN",2012,"FT",6,"20-30",59
"FSN",2012,"FT",6,"30-40",30
"FSN",2012,"FT",6,"40-50",14
"FSN",2012,"FT",6,"50-60",19
"HPR",2012,"FT",6,"0-10",14
"HPR",2012,"FT",6,"10-20",29
"HPR",2012,"FT",6,"20-30",57
"HPR",2012,"FT",6,"30-40",48
"HPR",2012,"FT",6,"40-50",32
"HPR",2012,"FT",6,"50-60",39
"HPR",2012,"FT",6,"60-70",38
"HPR",2012,"FT",6,"70-80",18
"HPR",2012,"FT",6,"80-90",11
"HUM",2012,"FT",6,"0-10",76
"HUM",2012,"FT",6,"10-20",273
"HUM",2012,"FT",6,"20-30",394
"HUM",2012,"FT",6,"30-40",316
"HUM",2012,"FT",6,"40-50",205
"HUM",2012,"FT",6,"50-60",122
"HUM",2012,"FT",6,"60-70",36
"HUM",2012,"FT",6,"70-80",11
"JOU",2012,"FT",6,"10-20",10
"JOU",2012,"FT",6,"20-30",20
"JOU",2012,"FT",6,"30-40",19
"KRP",2012,"FT",6,"0-10",24
"KRP",2012,"FT",6,"10-20",95
"KRP",2012,"FT",6,"20-30",109
"KRP",2012,"FT",6,"30-40",102
"KRP",2012,"FT",6,"40-50",40
"KRP",2012,"FT",6,"50-60",33
"LAW",2012,"FT",6,"20-30",25
"LAW",2012,"FT",6,"30-40",46
"LAW",2012,"FT",6,"40-50",92
"LAW",2012,"FT",6,"50-60",66
"LAW",2012,"FT",6,"60-70",84
"LAW",2012,"FT",6,"70-80",81
"LAW",2012,"FT",6,"80-90",22
"LAW",2012,"FT",6,"90-100",23
"LAW",2012,"FT",6,">100",24
"MAT",2012,"FT",6,"10-20",13
"MAT",2012,"FT",6,"20-30",28
"MAT",2012,"FT",6,"30-40",29
"MAT",2012,"FT",6,"40-50",39
"MAT",2012,"FT",6,"50-60",42
"MAT",2012,"FT",6,"60-70",31
"MAT",2012,"FT",6,"70-80",14
"MED",2012,"FT",6,"40-50",24
"MED",2012,"FT",6,"50-60",110
