"AcademicYear","University","Question","StudentYear","Score","Percentage"
2014,"BRO","Q1","Jr","S3",.28
2014,"BRO","Q1","Jr","S2",.54
2014,"BRO","Q1","Jr","S1",.16
2014,"BRO","Q1","Jr","S0",.02
2014,"CAR","Q1","Jr","S3",.279
2014,"CAR","Q1","Jr","S2",.553
2014,"CAR","Q1","Jr","S1",.141
2014,"CAR","Q1","Jr","S0",.027
2014,"GUE","Q1","Jr","S3",.411
2014,"GUE","Q1","Jr","S2",.483
2014,"GUE","Q1","Jr","S1",.09
2014,"GUE","Q1","Jr","S0",.016
2014,"LAK","Q1","Jr","S3",.2
2014,"LAK","Q1","Jr","S2",.56
2014,"LAK","Q1","Jr","S1",.21
2014,"LAK","Q1","Jr","S0",.03
2014,"LAU","Q1","Jr","S3",.198
2014,"LAU","Q1","Jr","S2",.538
2014,"LAU","Q1","Jr","S1",.238
2014,"LAU","Q1","Jr","S0",.025
2014,"MCM","Q1","Jr","S3",.37
2014,"MCM","Q1","Jr","S2",.45
2014,"MCM","Q1","Jr","S1",.15
2014,"MCM","Q1","Jr","S0",.03
2014,"NIP","Q1","Jr","S3",.38
2014,"NIP","Q1","Jr","S2",.52
2014,"NIP","Q1","Jr","S1",.09
2014,"NIP","Q1","Jr","S0",.01
2014,"OCA","Q1","Jr","S3",.22
2014,"OCA","Q1","Jr","S2",.48
2014,"OCA","Q1","Jr","S1",.23
2014,"OCA","Q1","Jr","S0",.06
2014,"OTT","Q1","Jr","S3",.21
2014,"OTT","Q1","Jr","S2",.574
2014,"OTT","Q1","Jr","S1",.18
2014,"OTT","Q1","Jr","S0",.036
2014,"OSP","Q1","Jr","S3",.46
2014,"OSP","Q1","Jr","S2",.45
2014,"OSP","Q1","Jr","S1",.09
2014,"UOI","Q1","Jr","S3",.243
2014,"UOI","Q1","Jr","S2",.55
2014,"UOI","Q1","Jr","S1",.173
2014,"UOI","Q1","Jr","S0",.034
2014,"QUE","Q1","Jr","S3",.495
2014,"QUE","Q1","Jr","S2",.405
2014,"QUE","Q1","Jr","S1",.086
2014,"QUE","Q1","Jr","S0",.013
2014,"RYE","Q1","Jr","S3",.21
2014,"RYE","Q1","Jr","S2",.55
2014,"RYE","Q1","Jr","S1",.21
2014,"RYE","Q1","Jr","S0",.02
2014,"TAC","Q1","Jr","S3",.228
2014,"TAC","Q1","Jr","S2",.511
2014,"TAC","Q1","Jr","S1",.217
2014,"TAC","Q1","Jr","S0",.044
2014,"TSG","Q1","Jr","S3",.263
2014,"TSG","Q1","Jr","S2",.5
2014,"TSG","Q1","Jr","S1",.196
2014,"TSG","Q1","Jr","S0",.042
2014,"TMI","Q1","Jr","S3",.154
2014,"TMI","Q1","Jr","S2",.533
2014,"TMI","Q1","Jr","S1",.261
2014,"TMI","Q1","Jr","S0",.052
2014,"TSC","Q1","Jr","S3",.181
2014,"TSC","Q1","Jr","S2",.53
2014,"TSC","Q1","Jr","S1",.246
2014,"TSC","Q1","Jr","S0",.043
2014,"TRE","Q1","Jr","S3",.295
2014,"TRE","Q1","Jr","S2",.529
2014,"TRE","Q1","Jr","S1",.143
2014,"TRE","Q1","Jr","S0",.033
2014,"WAT","Q1","Jr","S3",.346
2014,"WAT","Q1","Jr","S2",.491
2014,"WAT","Q1","Jr","S1",.139
2014,"WAT","Q1","Jr","S0",.024
2014,"WMC","Q1","Jr","S3",.4
2014,"WMC","Q1","Jr","S2",.46
2014,"WMC","Q1","Jr","S1",.13
2014,"WMC","Q1","Jr","S0",.02
2014,"WBC","Q1","Jr","S3",.36
2014,"WBC","Q1","Jr","S2",.51
2014,"WBC","Q1","Jr","S1",.13
2014,"WBC","Q1","Jr","S0",.01
2014,"WKC","Q1","Jr","S3",.35
2014,"WKC","Q1","Jr","S2",.51
2014,"WKC","Q1","Jr","S1",.12
2014,"WKC","Q1","Jr","S0",.02
2014,"WLA","Q1","Jr","S3",.33
2014,"WLA","Q1","Jr","S2",.52
2014,"WLA","Q1","Jr","S1",.13
2014,"WLA","Q1","Jr","S0",.02
2014,"WIN","Q1","Jr","S3",.175
2014,"WIN","Q1","Jr","S2",.552
2014,"WIN","Q1","Jr","S1",.237
2014,"WIN","Q1","Jr","S0",.036
2014,"YOR","Q1","Jr","S3",.173
2014,"YOR","Q1","Jr","S2",.524
2014,"YOR","Q1","Jr","S1",.262
2014,"YOR","Q1","Jr","S0",.041
2011,"BRO","Q1","Jr","S3",.32
2011,"BRO","Q1","Jr","S2",.521
2011,"BRO","Q1","Jr","S1",.134
2011,"BRO","Q1","Jr","S0",.025
2011,"CAR","Q1","Jr","S3",.341
2011,"CAR","Q1","Jr","S2",.514
2011,"CAR","Q1","Jr","S1",.121
2011,"CAR","Q1","Jr","S0",.024
2011,"GUE","Q1","Jr","S3",.48
2011,"GUE","Q1","Jr","S2",.42
2011,"GUE","Q1","Jr","S1",.08
2011,"GUE","Q1","Jr","S0",.01
2011,"LAK","Q1","Jr","S3",.27
2011,"LAK","Q1","Jr","S2",.54
2011,"LAK","Q1","Jr","S1",.17
2011,"LAK","Q1","Jr","S0",.02
2011,"LAU","Q1","Jr","S3",.254
2011,"LAU","Q1","Jr","S2",.532
2011,"LAU","Q1","Jr","S1",.19
2011,"LAU","Q1","Jr","S0",.024
2011,"MCM","Q1","Jr","S3",.397
2011,"MCM","Q1","Jr","S2",.452
2011,"MCM","Q1","Jr","S1",.127
2011,"MCM","Q1","Jr","S0",.024
2011,"NIP","Q1","Jr","S3",.49
2011,"NIP","Q1","Jr","S2",.42
2011,"NIP","Q1","Jr","S1",.07
2011,"NIP","Q1","Jr","S0",.02
2011,"OCA","Q1","Jr","S3",.28
2011,"OCA","Q1","Jr","S2",.5
2011,"OCA","Q1","Jr","S1",.18
2011,"OCA","Q1","Jr","S0",.04
2011,"OTT","Q1","Jr","S3",.22
2011,"OTT","Q1","Jr","S2",.58
2011,"OTT","Q1","Jr","S1",.18
2011,"OTT","Q1","Jr","S0",.02
2011,"UOI","Q1","Jr","S3",.26
2011,"UOI","Q1","Jr","S2",.51
2011,"UOI","Q1","Jr","S1",.19
2011,"UOI","Q1","Jr","S0",.04
2011,"QUE","Q1","Jr","S3",.54
2011,"QUE","Q1","Jr","S2",.35
2011,"QUE","Q1","Jr","S1",.09
2011,"QUE","Q1","Jr","S0",.02
2011,"RYE","Q1","Jr","S3",.29
2011,"RYE","Q1","Jr","S2",.52
2011,"RYE","Q1","Jr","S1",.16
2011,"RYE","Q1","Jr","S0",.03
2011,"TAC","Q1","Jr","S3",.281
2011,"TAC","Q1","Jr","S2",.474
2011,"TAC","Q1","Jr","S1",.198
2011,"TAC","Q1","Jr","S0",.047
2011,"TSG","Q1","Jr","S3",.296
2011,"TSG","Q1","Jr","S2",.458
2011,"TSG","Q1","Jr","S1",.196
2011,"TSG","Q1","Jr","S0",.05
2011,"TMI","Q1","Jr","S3",.259
2011,"TMI","Q1","Jr","S2",.515
2011,"TMI","Q1","Jr","S1",.191
2011,"TMI","Q1","Jr","S0",.035
2011,"TSC","Q1","Jr","S3",.24
2011,"TSC","Q1","Jr","S2",.49
2011,"TSC","Q1","Jr","S1",.218
2011,"TSC","Q1","Jr","S0",.052
2011,"TRE","Q1","Jr","S3",.385
2011,"TRE","Q1","Jr","S2",.495
2011,"TRE","Q1","Jr","S1",.098
2011,"TRE","Q1","Jr","S0",.022
2011,"WAT","Q1","Jr","S3",.41
2011,"WAT","Q1","Jr","S2",.45
2011,"WAT","Q1","Jr","S1",.12
2011,"WAT","Q1","Jr","S0",.02
2011,"WMC","Q1","Jr","S3",.47
2011,"WMC","Q1","Jr","S2",.41
2011,"WMC","Q1","Jr","S1",.1
2011,"WMC","Q1","Jr","S0",.01
2011,"WBC","Q1","Jr","S3",.4
2011,"WBC","Q1","Jr","S2",.44
2011,"WBC","Q1","Jr","S1",.11
2011,"WBC","Q1","Jr","S0",.05
2011,"WHC","Q1","Jr","S3",.49
2011,"WHC","Q1","Jr","S2",.38
2011,"WHC","Q1","Jr","S1",.11
2011,"WHC","Q1","Jr","S0",.02
2011,"WKC","Q1","Jr","S3",.4
2011,"WKC","Q1","Jr","S2",.48
2011,"WKC","Q1","Jr","S1",.12
2011,"WKC","Q1","Jr","S0",.01
2011,"WLA","Q1","Jr","S3",.39
2011,"WLA","Q1","Jr","S2",.49
2011,"WLA","Q1","Jr","S1",.11
2011,"WLA","Q1","Jr","S0",.01
2011,"WIN","Q1","Jr","S3",.19
2011,"WIN","Q1","Jr","S2",.56
2011,"WIN","Q1","Jr","S1",.21
2011,"WIN","Q1","Jr","S0",.04
2011,"YOR","Q1","Jr","S3",.16
2011,"YOR","Q1","Jr","S2",.552
2011,"YOR","Q1","Jr","S1",.233
2011,"YOR","Q1","Jr","S0",.054
2008,"BRO","Q1","Jr","S3",.286
2008,"BRO","Q1","Jr","S2",.549
2008,"BRO","Q1","Jr","S1",.146
2008,"BRO","Q1","Jr","S0",.02
2008,"CAR","Q1","Jr","S3",.285
2008,"CAR","Q1","Jr","S2",.54
2008,"CAR","Q1","Jr","S1",.151
2008,"CAR","Q1","Jr","S0",.023
2008,"GUE","Q1","Jr","S3",.46
2008,"GUE","Q1","Jr","S2",.45
2008,"GUE","Q1","Jr","S1",.08
2008,"GUE","Q1","Jr","S0",.02
2008,"LAK","Q1","Jr","S3",.25
2008,"LAK","Q1","Jr","S2",.51
2008,"LAK","Q1","Jr","S1",.19
2008,"LAK","Q1","Jr","S0",.05
2008,"LAU","Q1","Jr","S3",.26
2008,"LAU","Q1","Jr","S2",.45
2008,"LAU","Q1","Jr","S1",.23
2008,"LAU","Q1","Jr","S0",.06
2008,"MCM","Q1","Jr","S3",.4
2008,"MCM","Q1","Jr","S2",.45
2008,"MCM","Q1","Jr","S1",.11
2008,"MCM","Q1","Jr","S0",.04
2008,"NIP","Q1","Jr","S3",.46
2008,"NIP","Q1","Jr","S2",.45
2008,"NIP","Q1","Jr","S1",.08
2008,"NIP","Q1","Jr","S0",.01
2008,"OCA","Q1","Jr","S3",.241
2008,"OCA","Q1","Jr","S2",.509
2008,"OCA","Q1","Jr","S1",.202
2008,"OCA","Q1","Jr","S0",.048
2008,"OTT","Q1","Jr","S3",.19
2008,"OTT","Q1","Jr","S2",.59
2008,"OTT","Q1","Jr","S1",.17
2008,"OTT","Q1","Jr","S0",.05
2008,"UOI","Q1","Jr","S3",.34
2008,"UOI","Q1","Jr","S2",.49
2008,"UOI","Q1","Jr","S1",.13
2008,"UOI","Q1","Jr","S0",.03
2008,"QUE","Q1","Jr","S3",.54
2008,"QUE","Q1","Jr","S2",.36
2008,"QUE","Q1","Jr","S1",.09
2008,"QUE","Q1","Jr","S0",.01
2008,"RYE","Q1","Jr","S3",.26
2008,"RYE","Q1","Jr","S2",.52
2008,"RYE","Q1","Jr","S1",.19
2008,"RYE","Q1","Jr","S0",.03
2008,"TAC","Q1","Jr","S3",.228
2008,"TAC","Q1","Jr","S2",.469
2008,"TAC","Q1","Jr","S1",.236
2008,"TAC","Q1","Jr","S0",.067
2008,"TSG","Q1","Jr","S3",.235
2008,"TSG","Q1","Jr","S2",.458
2008,"TSG","Q1","Jr","S1",.236
2008,"TSG","Q1","Jr","S0",.07
2008,"TMI","Q1","Jr","S3",.225
2008,"TMI","Q1","Jr","S2",.512
2008,"TMI","Q1","Jr","S1",.192
2008,"TMI","Q1","Jr","S0",.071
2008,"TSC","Q1","Jr","S3",.16
2008,"TSC","Q1","Jr","S2",.533
2008,"TSC","Q1","Jr","S1",.267
2008,"TSC","Q1","Jr","S0",.04
2008,"TRE","Q1","Jr","S3",.39
2008,"TRE","Q1","Jr","S2",.45
2008,"TRE","Q1","Jr","S1",.12
2008,"TRE","Q1","Jr","S0",.04
2008,"WAT","Q1","Jr","S3",.36
2008,"WAT","Q1","Jr","S2",.46
2008,"WAT","Q1","Jr","S1",.15
2008,"WAT","Q1","Jr","S0",.03
2008,"WMC","Q1","Jr","S3",.45
2008,"WMC","Q1","Jr","S2",.43
2008,"WMC","Q1","Jr","S1",.1
2008,"WMC","Q1","Jr","S0",.02
2008,"WBC","Q1","Jr","S3",.24
2008,"WBC","Q1","Jr","S2",.66
2008,"WBC","Q1","Jr","S1",.07
2008,"WBC","Q1","Jr","S0",.03
2008,"WHC","Q1","Jr","S3",.32
2008,"WHC","Q1","Jr","S2",.49
2008,"WHC","Q1","Jr","S1",.14
2008,"WHC","Q1","Jr","S0",.04
2008,"WKC","Q1","Jr","S3",.36
2008,"WKC","Q1","Jr","S2",.52
2008,"WKC","Q1","Jr","S1",.1
2008,"WKC","Q1","Jr","S0",.02
2008,"WLA","Q1","Jr","S3",.47
2008,"WLA","Q1","Jr","S2",.43
2008,"WLA","Q1","Jr","S1",.09
2008,"WLA","Q1","Jr","S0",.02
2008,"WIN","Q1","Jr","S3",.18
2008,"WIN","Q1","Jr","S2",.53
2008,"WIN","Q1","Jr","S1",.24
2008,"WIN","Q1","Jr","S0",.05
2008,"YOR","Q1","Jr","S3",.18
2008,"YOR","Q1","Jr","S2",.55
2008,"YOR","Q1","Jr","S1",.22
2008,"YOR","Q1","Jr","S0",.05
2006,"BRO","Q1","Jr","S3",.28
2006,"BRO","Q1","Jr","S2",.53
2006,"BRO","Q1","Jr","S1",.15
2006,"BRO","Q1","Jr","S0",.03
2006,"CAR","Q1","Jr","S3",.279
2006,"CAR","Q1","Jr","S2",.534
2006,"CAR","Q1","Jr","S1",.155
2006,"CAR","Q1","Jr","S0",.031
2006,"GUE","Q1","Jr","S3",.44
2006,"GUE","Q1","Jr","S2",.47
2006,"GUE","Q1","Jr","S1",.08
2006,"GUE","Q1","Jr","S0",.01
2006,"LAK","Q1","Jr","S3",.292
2006,"LAK","Q1","Jr","S2",.524
2006,"LAK","Q1","Jr","S1",.151
2006,"LAK","Q1","Jr","S0",.033
2006,"LAU","Q1","Jr","S3",.24
2006,"LAU","Q1","Jr","S2",.51
2006,"LAU","Q1","Jr","S1",.17
2006,"LAU","Q1","Jr","S0",.08
2006,"MCM","Q1","Jr","S3",.366
2006,"MCM","Q1","Jr","S2",.477
2006,"MCM","Q1","Jr","S1",.134
2006,"MCM","Q1","Jr","S0",.023
2006,"NIP","Q1","Jr","S3",.45
2006,"NIP","Q1","Jr","S2",.45
2006,"NIP","Q1","Jr","S1",.09
2006,"NIP","Q1","Jr","S0",.02
2006,"OCA","Q1","Jr","S3",.14
2006,"OCA","Q1","Jr","S2",.51
2006,"OCA","Q1","Jr","S1",.31
2006,"OCA","Q1","Jr","S0",.05
2006,"OTT","Q1","Jr","S3",.191
2006,"OTT","Q1","Jr","S2",.591
2006,"OTT","Q1","Jr","S1",.179
2006,"OTT","Q1","Jr","S0",.04
2006,"UOI","Q1","Jr","S3",.39
2006,"UOI","Q1","Jr","S2",.46
2006,"UOI","Q1","Jr","S1",.12
2006,"UOI","Q1","Jr","S0",.03
2006,"QUE","Q1","Jr","S3",.53
2006,"QUE","Q1","Jr","S2",.38
2006,"QUE","Q1","Jr","S1",.08
2006,"QUE","Q1","Jr","S0",.01
2006,"RYE","Q1","Jr","S3",.27
2006,"RYE","Q1","Jr","S2",.52
2006,"RYE","Q1","Jr","S1",.18
2006,"RYE","Q1","Jr","S0",.04
2006,"TAC","Q1","Jr","S3",.244
2006,"TAC","Q1","Jr","S2",.479
2006,"TAC","Q1","Jr","S1",.222
2006,"TAC","Q1","Jr","S0",.055
2006,"TSG","Q1","Jr","S3",.243
2006,"TSG","Q1","Jr","S2",.484
2006,"TSG","Q1","Jr","S1",.22
2006,"TSG","Q1","Jr","S0",.053
2006,"TMI","Q1","Jr","S3",.253
2006,"TMI","Q1","Jr","S2",.484
2006,"TMI","Q1","Jr","S1",.211
2006,"TMI","Q1","Jr","S0",.052
2006,"TSC","Q1","Jr","S3",.231
2006,"TSC","Q1","Jr","S2",.449
2006,"TSC","Q1","Jr","S1",.25
2006,"TSC","Q1","Jr","S0",.069
2006,"WAT","Q1","Jr","S3",.413
2006,"WAT","Q1","Jr","S2",.444
2006,"WAT","Q1","Jr","S1",.122
2006,"WAT","Q1","Jr","S0",.021
2006,"WMC","Q1","Jr","S3",.47
2006,"WMC","Q1","Jr","S2",.41
2006,"WMC","Q1","Jr","S1",.1
2006,"WMC","Q1","Jr","S0",.02
2006,"WLA","Q1","Jr","S3",.388
2006,"WLA","Q1","Jr","S2",.501
2006,"WLA","Q1","Jr","S1",.101
2006,"WLA","Q1","Jr","S0",.01
2006,"WIN","Q1","Jr","S3",.16
2006,"WIN","Q1","Jr","S2",.55
2006,"WIN","Q1","Jr","S1",.24
2006,"WIN","Q1","Jr","S0",.05
2006,"YOR","Q1","Jr","S3",.202
2006,"YOR","Q1","Jr","S2",.552
2006,"YOR","Q1","Jr","S1",.18
2006,"YOR","Q1","Jr","S0",.066
2014,"BRO","Q1","Sr","S3",.31
2014,"BRO","Q1","Sr","S2",.53
2014,"BRO","Q1","Sr","S1",.13
2014,"BRO","Q1","Sr","S0",.03
2014,"CAR","Q1","Sr","S3",.325
2014,"CAR","Q1","Sr","S2",.503
2014,"CAR","Q1","Sr","S1",.14
2014,"CAR","Q1","Sr","S0",.032
2014,"GUE","Q1","Sr","S3",.506
2014,"GUE","Q1","Sr","S2",.414
2014,"GUE","Q1","Sr","S1",.063
2014,"GUE","Q1","Sr","S0",.018
2014,"LAK","Q1","Sr","S3",.19
2014,"LAK","Q1","Sr","S2",.5
2014,"LAK","Q1","Sr","S1",.26
2014,"LAK","Q1","Sr","S0",.05
2014,"LAU","Q1","Sr","S3",.21
2014,"LAU","Q1","Sr","S2",.529
2014,"LAU","Q1","Sr","S1",.21
2014,"LAU","Q1","Sr","S0",.051
2014,"MCM","Q1","Sr","S3",.38
2014,"MCM","Q1","Sr","S2",.48
2014,"MCM","Q1","Sr","S1",.12
2014,"MCM","Q1","Sr","S0",.02
2014,"NIP","Q1","Sr","S3",.38
2014,"NIP","Q1","Sr","S2",.48
2014,"NIP","Q1","Sr","S1",.12
2014,"NIP","Q1","Sr","S0",.02
2014,"OCA","Q1","Sr","S3",.2
2014,"OCA","Q1","Sr","S2",.5
2014,"OCA","Q1","Sr","S1",.24
2014,"OCA","Q1","Sr","S0",.06
2014,"OTT","Q1","Sr","S3",.169
2014,"OTT","Q1","Sr","S2",.569
2014,"OTT","Q1","Sr","S1",.213
2014,"OTT","Q1","Sr","S0",.049
2014,"OSP","Q1","Sr","S3",.41
2014,"OSP","Q1","Sr","S2",.54
2014,"OSP","Q1","Sr","S1",.04
2014,"UOI","Q1","Sr","S3",.235
2014,"UOI","Q1","Sr","S2",.499
2014,"UOI","Q1","Sr","S1",.204
2014,"UOI","Q1","Sr","S0",.063
2014,"QUE","Q1","Sr","S3",.508
2014,"QUE","Q1","Sr","S2",.395
2014,"QUE","Q1","Sr","S1",.079
2014,"QUE","Q1","Sr","S0",.019
2014,"RYE","Q1","Sr","S3",.21
2014,"RYE","Q1","Sr","S2",.54
2014,"RYE","Q1","Sr","S1",.2
2014,"RYE","Q1","Sr","S0",.05
2014,"TAC","Q1","Sr","S3",.252
2014,"TAC","Q1","Sr","S2",.477
2014,"TAC","Q1","Sr","S1",.216
2014,"TAC","Q1","Sr","S0",.055
2014,"TSG","Q1","Sr","S3",.271
2014,"TSG","Q1","Sr","S2",.468
2014,"TSG","Q1","Sr","S1",.204
2014,"TSG","Q1","Sr","S0",.057
2014,"TMI","Q1","Sr","S3",.234
2014,"TMI","Q1","Sr","S2",.456
2014,"TMI","Q1","Sr","S1",.254
2014,"TMI","Q1","Sr","S0",.056
2014,"TSC","Q1","Sr","S3",.188
2014,"TSC","Q1","Sr","S2",.52
2014,"TSC","Q1","Sr","S1",.239
2014,"TSC","Q1","Sr","S0",.054
2014,"TRE","Q1","Sr","S3",.384
2014,"TRE","Q1","Sr","S2",.502
2014,"TRE","Q1","Sr","S1",.11
2014,"TRE","Q1","Sr","S0",.004
2014,"WAT","Q1","Sr","S3",.302
2014,"WAT","Q1","Sr","S2",.491
2014,"WAT","Q1","Sr","S1",.165
2014,"WAT","Q1","Sr","S0",.041
2014,"WMC","Q1","Sr","S3",.41
2014,"WMC","Q1","Sr","S2",.47
2014,"WMC","Q1","Sr","S1",.11
2014,"WMC","Q1","Sr","S0",.02
2014,"WBC","Q1","Sr","S3",.49
2014,"WBC","Q1","Sr","S2",.39
2014,"WBC","Q1","Sr","S1",.11
2014,"WBC","Q1","Sr","S0",.01
2014,"WKC","Q1","Sr","S3",.42
2014,"WKC","Q1","Sr","S2",.51
2014,"WKC","Q1","Sr","S1",.06
2014,"WKC","Q1","Sr","S0",.01
2014,"WLA","Q1","Sr","S3",.35
2014,"WLA","Q1","Sr","S2",.51
2014,"WLA","Q1","Sr","S1",.12
2014,"WLA","Q1","Sr","S0",.02
2014,"WIN","Q1","Sr","S3",.171
2014,"WIN","Q1","Sr","S2",.554
2014,"WIN","Q1","Sr","S1",.225
2014,"WIN","Q1","Sr","S0",.05
2014,"YOR","Q1","Sr","S3",.209
2014,"YOR","Q1","Sr","S2",.534
2014,"YOR","Q1","Sr","S1",.211
2014,"YOR","Q1","Sr","S0",.045
2011,"BRO","Q1","Sr","S3",.326
2011,"BRO","Q1","Sr","S2",.534
2011,"BRO","Q1","Sr","S1",.12
2011,"BRO","Q1","Sr","S0",.019
2011,"CAR","Q1","Sr","S3",.366
2011,"CAR","Q1","Sr","S2",.529
2011,"CAR","Q1","Sr","S1",.138
2011,"CAR","Q1","Sr","S0",.027
2011,"GUE","Q1","Sr","S3",.49
2011,"GUE","Q1","Sr","S2",.4
2011,"GUE","Q1","Sr","S1",.09
2011,"GUE","Q1","Sr","S0",.02
2011,"LAK","Q1","Sr","S3",.26
2011,"LAK","Q1","Sr","S2",.52
2011,"LAK","Q1","Sr","S1",.18
2011,"LAK","Q1","Sr","S0",.04
2011,"LAU","Q1","Sr","S3",.241
2011,"LAU","Q1","Sr","S2",.499
2011,"LAU","Q1","Sr","S1",.183
2011,"LAU","Q1","Sr","S0",.077
2011,"MCM","Q1","Sr","S3",.351
2011,"MCM","Q1","Sr","S2",.483
2011,"MCM","Q1","Sr","S1",.134
