"TradeCode","NOC","Sector","JourneypersonRatio?","TrainingCredit?","OnlineFactSheets?","RedSeal?","CertQualExam?","Hours-OTJ","Hours-InClass","ATS-Pub-Year","CTS-Pub-Year","Trade-Board?","MinAcadReq"
"620B",4214,"S","N","N","N","N","N",6480,720,2009,2009,"N",12
"425A",7312,"A","N","Y","Y","Y","Y",6280,720,2014,2010,"Y",12
"640D",8253,"S","N","N","N","N","N",5520,0,2009,2010,"N",12
"640F",821,"S","N","N","N","N","N",5520,480,2000,2000,"N",12
"640S",8252,"S","N","N","N","N","N",5520,480,2000,2000,"N",12
"310E",7321,"A","N","Y","Y","N","Y",5400,480,2003,2004,"Y",12
"445A",7332,"S","N","N","Y","Y","Y",5280,720,2009,1999,"Y",12
"444A",2225,"S","N","N","Y","N","Y",5400,720,2007,2008,"Y",12
"424A",7292,"C","Y","Y","Y","Y","Y",7280,720,2008,2009,"Y",10
"415B",6322,"S","N","N","Y","N","N",2640,360,2000,2000,"Y",10
"310B",7322,"A","N","Y","Y","Y","Y",7280,720,2015,2006,"Y",12
"310Q",7322,"A","N","Y","Y","N","Y",5520,480,2015,2006,"Y",10
"310K",7321,"A","N","Y","N","N","Y",3000,240,2003,2001,"Y",12
"274L",7322,"A","N","Y","N","N","N",3760,240,2005,2005,"Y",12
"410N",7322,"A","N","Y","Y","Y","Y",4560,240,2015,2005,"Y",12
"310S",7321,"A","N","Y","Y","Y","Y",6500,720,2015,2010,"Y",12
"423A",6322,"S","N","N","N","N","N",5280,720,2003,2000,"Y",12
"423C",6322,"S","N","N","Y","Y","Y",6130,870,2003,2000,"Y",12
"615A",7321,"I","N","Y","N","N","N",5760,240,2000,2000,"Y",12
"600P",7384,"I","N","Y","N","N","N",5280,720,2000,2000,"N",12
"401A",7281,"C","Y","Y","Y","Y","Y",4880,720,2007,2007,"Y",8
"438A",7272,"I","N","Y","N","Y","Y",7280,720,2007,2011,"Y",12
"244G",7282,"C","Y","Y","Y","Y","N",4500,480,2009,2004,"Y",10
"415C",6321,"S","N","N","N","N","N",1900,360,2004,2008,"Y","415A-CQ+1Y"
"620C",4214,"S","N","N","Y","N","N",5280,720,2003,2003,"N",12
"620A",4212,"S","N","N","Y","N","N",6240,960,2006,2006,"N",12
"670C",2233,"I","N","Y","N","N","N",3760,240,2005,2008,"N","CQ"
"267G",7315,"I","N","Y","N","N","N",5700,300,2000,2000,"N",12
"637C",7611,"C","N","Y","Y","N","N",2000,159,2008,2008,"Y",12
"428A",7262,"C","Y","Y","Y","Y","Y",5880,720,2004,2008,"Y",10
"450A",7611,"C","N","Y","Y","Y","Y",2400,480,2000,2002,"Y",10
"426A",7311,"C","Y","Y","Y","N","Y",7280,720,2007,2011,"Y",10
"415A",6322,"S","N","N","Y","Y","Y",5280,720,2003,2002,"Y",12
"620D",4212,"S","N","N","Y","N","N",3720,780,2008,2013,"Y",12
"670D",7232,"I","N","Y","N","N","N",3760,240,2003,2003,"Y","430A-CQ"
"614A",2253,"I","N","Y","N","N","N",7400,600,2003,2003,"Y",12
"614B",2253,"I","N","Y","N","N","N",7400,600,2000,2000,"Y",12
"614C",2253,"I","N","Y","N","N","N",7400,600,2000,2000,"Y",12
"451A",7284,"C","Y","Y","Y","N","Y",4800,600,2006,2003,"Y",10
"453A",7284,"C","Y","Y","Y","Y","Y",4920,480,2008,2008,"Y",8
"620E",4413,"S","N","N","Y","N","N",2268,432,2000,2001,"N",12
"446A",7333,"I","N","Y","N","Y","Y",7520,480,2001,2001,"N",12
"617A",9525,"I","N","Y","N","N","N",5400,300,2000,2000,"N",12
"289F",7242,"I","N","Y","N","N","N","NA",0,"NA","NA","N",12
"309A",7241,"C","Y","Y","Y","Y","Y",8160,840,2003,2003,"Y",10
"309C",7241,"C","Y","Y","Y","N","Y",6660,540,2003,2003,"Y",10
"416E",2242,"S","N","Y","N","N","N",7280,720,"NA","NA","N",12
"636E",7318,"I","N","Y","Y","N","Y",7280,720,2008,2005,"Y",12
"269E",5226,"I","N","Y","N","N","Y",4520,480,2004,2006,"N",12
"455A",7293,"C","N","Y","N","N","N",5400,400,2009,2009,"Y",12
"255W",9241,"I","N","Y","N","N","Y",5520,480,2004,2005,"Y",12
"255B",9241,"I","N","Y","N","N","Y",7280,720,2004,2005,"Y",12
"661H",9525,"I","N","Y","N","N","N",7520,480,2000,2000,"N",12
"448A",7295,"C","Y","Y","Y","Y","Y",5400,600,2010,2009,"Y",10
"310C",7321,"A","N","Y","N","N","N",6500,0,"NA","NA","Y",12
"606G",6344,"S","N","N","N","N","N",7520,480,2000,2000,"N",12
"403A",7271,"C","Y","Y","Y","Y","Y",6480,720,2010,2014,"Y",10
"429A",7231,"I","N","Y","Y","Y","Y",7280,720,2003,2008,"Y",12
"332A",6341,"S","N","N","Y","Y","Y",3020,480,2010,2012,"Y",12
"606W",6421,"S","N","N","N","N","N",4212,288,2006,2006,"N",12
"253H",7611,"C","N","Y","Y","N","Y",2898,102,2009,2009,"Y",12
"253A",7293,"C","Y","Y","Y","Y","N",5770,630,2011,2011,"Y",10
"421A",7312,"A","N","Y","Y","Y","Y",6280,720,2015,2010,"Y",12
"636C",7521,"C","N","Y","Y","Y","N",2260,240,2002,2002,"Y",12
"636B",7521,"C","N","Y","Y","Y","N",2260,240,2002,2002,"Y",12
"636A",7521,"C","N","Y","Y","Y","N",2260,240,2002,2002,"Y",12
"339A",7371,"C","Y","Y","Y","Y","Y",5520,480,1998,2007,"Y",10
"339C",7371,"C","Y","Y","Y","N","Y",760,240,1998,2007,"Y",10
"339B",7371,"C","Y","Y","Y","Y","Y",2640,360,1998,2007,"Y",10
"600H",6563,"S","N","N","N","N","N",3598,402,2008,2011,"",12
"219D",9445,"S","N","N","N","N","N",7400,600,2001,2001,"N",12
"441C",2225,"S","N","N","Y","Y","Y",5400,720,2010,2009,"Y",12
"277Z",7312,"I","N","Y","N","N","N",7400,600,2000,2000,"N",12
"442A",7242,"I","N","Y","Y","Y","Y",8160,840,2011,2003,"Y",12
"433A",7311,"I","N","Y","Y","Y","Y",7280,720,2010,2005,"Y",12
"634A",2282,"S","N","N","N","N","N",3730,270,2011,2011,"Y",12
"634E",6552,"S","N","N","N","N","N",3820,180,2011,2011,"Y",12
"634B",2282,"S","N","Y","N","N","N",6420,630,2007,2007,"Y",12
"634C",2283,"S","N","Y","N","N","N",6340,720,2006,2007,"Y",12
"634D",6552,"S","N","N","N","N","N",3820,180,2011,2011,"Y",12
"415D",6322,"S","N","N","Y","Y","Y",3600,360,2011,2011,"Y",12
"447A",2243,"I","N","Y","Y","Y","Y",7280,720,2009,2008,"Y",12
"420B",7236,"C","Y","Y","N","Y","Y",7280,720,2013,2014,"Y",10
"420A",7236,"C","Y","Y","N","Y","Y",5280,720,2013,2014,"Y",10
"207S",7244,"I","N","Y","N","N","N",8000,120,2009,2009,"N",12
"259L",7384,"I","N","Y","N","N","N",6000,480,2000,2000,"",12
"430M",7316,"I","N","Y","N","N","Y",7280,720,2002,2008,"Y",12
"435B",7311,"A","N","Y","Y","N","Y",4280,720,2004,2014,"Y",12
"437A",7235,"I","N","Y","N","Y","Y",4680,720,2004,2008,"Y",12
"630A",2241,"S","N","Y","N","N","N",3696,304,2005,2005,"N",12
"410K",7231,"A","N","Y","N","N","Y",5340,660,2003,1998,"N",12
"310G",7334,"A","N","Y","Y","Y","Y",5520,480,2003,2007,"Y",12
"670E",2232,"I","N","Y","N","N","N",3760,240,2003,2003,"Y","431A-CQ"
"431A",7232,"I","N","Y","N","N","Y",7280,720,2003,2008,"Y",12
"277M",7232,"I","N","Y","N","N","N",3760,240,2003,2003,"Y",12
"296B",5244,"S","N","N","N","N","N",3520,480,2000,2000,"",12
"296A",7611,"C","N","Y","N","N","N",4000,0,1998,1998,"N",12
"631A",7245,"S","N","Y","Y","N","Y",4000,600,2014,2001,"Y",12
"225A",3414,"I","N","Y","N","N","N",8000,0,2000,2000,"N",12
"609C",7311,"I","N","Y","N","N","N",7840,160,2002,2002,"Y",12
"404C",7294,"C","Y","Y","Y","Y","Y",5280,720,2012,2004,"Y",10
"404D",7294,"C","Y","Y","Y","N","Y",5280,720,2008,2004,"Y",10
"240P",1522,"S","N","Y","Y","Y","Y",5460,540,2008,2003,"Y",12
"443A",7232,"I","N","Y","N","N","Y",7280,720,2004,2004,"Y",12
"306A",7251,"C","Y","Y","Y","Y","Y",8280,720,1999,2007,"Y",10
"237T",7441,"S","N","Y","N","N","N",5520,480,2003,2010,"N",12
"237S",7441,"S","N","Y","N","N","N",5520,480,2003,2010,"N",12
"282E",7334,"A","N","Y","Y","N","Y",6280,720,2002,2010,"Y",12
"434A",7244,"C","Y","Y","Y","Y","Y",7617,383,2003,2007,"Y",10
"244K",7236,"C","Y","Y","N","N","N",5400,0,1993,"NA","N",10
"244L",7282,"C","Y","Y","N","N","N",5400,0,1993,"NA","N",10
"200G",7235,"I","N","Y","N","N","N",7280,720,1993,2008,"N",12
"456P",7237,"I","N","Y","N","N","Y",5280,480,2009,2010,"Y","456A-CQ"
"246T",9461,"I","N","Y","N","N","N",4480,300,2007,2007,"N",12
"246R",9241,"I","N","Y","N","N","N",6480,720,2006,2006,"N",12
"246F",9232,"I","N","Y","N","N","N",6480,720,2000,2000,"N",12
"246W",9434,"I","N","Y","N","N","N",6000,720,2011,2011,"N",12
"263F",7311,"I","N","Y","N","N","N",4000,360,2003,2003,"N",12
"268R",7314,"I","N","Y","N","N","Y",7280,720,2010,2008,"N",12
"690H",7384,"A","N","Y","N","Y","Y",6280,720,2016,2003,"N",12
"401R",7281,"C","N","Y","N","N","N",3760,240,2009,2009,"Y","401A-CQ"
"313A",7313,"C","Y","Y","Y","Y","Y",8280,720,2004,2008,"Y",10
"452A",7236,"C","Y","Y","N","Y","Y",3640,360,2013,2014,"Y",10
"288R",7243,"I","N","N","N","N","N",7680,320,2008,2008,"N",12
"313D",7313,"C","Y","Y","Y","N","Y",4020,480,2003,2008,"Y",10
"308R",7233,"C","Y","Y","Y","N","Y",4140,360,2010,2011,"Y",10
"244H",7281,"C","Y","Y","N","N","N",6000,0,1992,1998,"Y",10
"245R",9462,"S","N","N","N","N","N",3460,540,2001,2001,"N",12
"602H",7417,"I","N","Y","N","N","N",5760,240,2000,2000,"N",12
"449A",7291,"C","Y","Y","Y","Y","Y",3520,480,1996,2009,"Y",10
"219C",9445,"S","N","N","N","N","N",5440,560,2000,2000,"N",12
"611B",7384,"I","N","Y","N","N","N",8000,0,2000,2000,"N",12
"308A",7233,"C","Y","Y","Y","Y","Y",8280,720,1994,2003,"Y",10
"297A",7311,"I","N","Y","N","N","Y",5520,480,2000,2000,"N",12
"435A",7335,"A","N","Y","Y","N","Y",4520,480,2004,2014,"Y",12
"297B",1226,"S","N","N","N","N","N",5000,350,2003,2003,"N",12
"427A",7252,"C","Y","Y","Y","Y","Y",6480,720,2010,2007,"Y",10
"307A",7252,"C","Y","Y","Y","Y","Y",8280,720,1999,2009,"Y",10
"278B",7372,"I","N","Y","N","N","Y",2240,360,2014,2001,"N",12
"630B",9523,"I","N","Y","N","N","N",5000,0,"NA","NA","N",12
"241A",7283,"C","Y","Y","Y","Y","Y",4780,820,2008,2009,"Y",10
"225F","NA","I","N","Y","N","N","N",8000,0,"NA","NA","N",12
"295A",7321,"A","N","Y","N","N","N",3700,300,2000,2000,"N",12
"602C",9417,"I","N","Y","N","N","N",3760,240,2001,2001,"Y",12
"239B",7231,"I","N","Y","N","N","N",3830,170,2000,2000,"Y","430A-CQ"
"430A",7232,"I","N","Y","Y","Y","Y",7280,720,2002,2008,"Y",12
"630T",7232,"I","N","Y","N","N","Y",7280,720,2004,2008,"Y",12
"638A",7511,"I","N","Y","Y","N","N",2000,0,2005,2005,"Y",10
"310D",7321,"A","N","Y","Y","N","Y",6000,480,2003,2003,"Y",12
"310T",7321,"A","N","Y","Y","Y","Y",6000,720,2016,2010,"Y",12
"310J",7321,"A","N","Y","Y","Y","Y",4000,480,2016,2011,"Y",12
"421C",7335,"A","N","Y","Y","N","N",5000,720,2004,2014,"Y",12
"444B",2225,"S","N","N","Y","N","Y",5340,720,2006,2008,"Y",12
"605B",7373,"I","N","Y","N","N","N",4520,480,2000,2000,"N",12
"456A",7237,"I","N","Y","Y","Y","Y",5280,720,2007,2008,"Y",12
"211W",7271,"S","N","N","N","N","N",8000,0,2000,2000,"N",12
